rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
452,A5016525604,Bo Li,Bo Li,2,4,50.0,2023,2023,1.0,https://orcid.org/0000-0003-0783-4174,High,2,0
453,A5100343694,Bo Li,Bo Li,2,62,3.23,2022,2022,4.5,https://orcid.org/0000-0003-4959-632X,High,2,0
454,A5100374360,Bo Li,Bo Li,2,653,0.31,2022,2023,0.5,https://orcid.org/0000-0001-6709-0942,High,2,0
455,A5100374429,Bo Li,Bo Li,2,305,0.66,2022,2026,8.0,https://orcid.org/0000-0002-4456-7303,High,2,0
456,A5100374460,Bo Li,Bo Li,2,355,0.56,2024,2024,6.5,https://orcid.org/0000-0002-7979-8339,High,2,0
457,A5100688318,Bo Li,Bo Li,2,1370,0.15,2010,2011,0.0,https://orcid.org/0000-0002-0439-5666,High,2,0
458,A5100408177,Bo Wang,Bo Wang,2,80,2.5,2020,2022,4.5,https://orcid.org/0000-0003-1304-2413,High,2,0
459,A5101445946,Bo Wang,Bo Wang,2,4,50.0,2011,2011,0.0,https://orcid.org/0000-0001-8450-9055,High,2,0
460,A5038151206,Bo Zhang,Bo Zhang,2,27,7.41,2023,2023,1.0,https://orcid.org/0000-0003-0334-3036,High,2,0
461,A5100335189,Bo Zhang,Bo Zhang,2,364,0.55,2024,2024,3.0,https://orcid.org/0000-0001-6953-9651,High,2,0
462,A5100335228,Bo Zhang,Bo Zhang,2,436,0.46,2022,2024,1.5,https://orcid.org/0000-0002-0254-5843,High,2,0
463,A5100335295,Bo Zhang,Bo Zhang,2,24,8.33,2022,2023,1.0,https://orcid.org/0000-0002-5883-0248,High,2,0
464,A5100335328,Bo Zhang,Bo Zhang,2,57,3.51,2021,2024,1.0,https://orcid.org/0000-0002-8397-0680,High,2,0
465,A5021587687,Chandra Gopala Rao,Chandra Gopala Rao,2,2,100.0,2015,2015,0.0,,High,2,0
466,A5041736536,Chandra Gopala Rao,Chandra Gopala Rao,2,2,100.0,2015,2015,0.0,,High,2,0
467,A5045674411,Chandra Gopala Rao,Chandra Gopala Rao,2,2,100.0,2015,2015,0.0,,High,2,0
468,A5100407017,Chao Wang,Chao Wang,2,1221,0.16,2021,2021,3.5,https://orcid.org/0000-0002-6251-7908,High,2,0
469,A5100407056,Chao Wang,Chao Wang,2,42,4.76,2023,2023,1.5,https://orcid.org/0000-0002-8592-3781,High,2,0
470,A5101940143,Chao Wang,Chao Wang,2,76,2.63,2010,2023,1.0,https://orcid.org/0000-0002-0343-3982,High,2,0
471,A5115076700,Chao Wang,Chao Wang,2,1226,0.16,2023,2024,1.5,https://orcid.org/0000-0003-4887-923X,High,2,0
472,A5101860413,Chen Jun,Jun Chen,2,103,1.94,2019,2019,1.0,https://orcid.org/0009-0003-2363-601X,High,2,0
473,A5100380660,Dan Li,Dan Li,2,258,0.78,2021,2025,5.0,https://orcid.org/0000-0001-6458-6096,High,2,0
474,A5100380711,Dan Li,Dan Li,2,148,1.35,2011,2023,1.0,https://orcid.org/0000-0002-2691-5175,High,2,0
475,A5100380731,Dan Li,Dan Li,2,168,1.19,2010,2022,0.5,https://orcid.org/0000-0002-4759-565X,High,2,0
476,A5100326826,Dan Liu,Dan Liu,2,186,1.08,2010,2010,0.0,https://orcid.org/0000-0002-1891-9352,High,2,0
477,A5100326828,Dan Liu,Dan Liu,2,63,3.17,2024,2025,12.0,https://orcid.org/0000-0002-1946-8899,High,2,0
478,A5100326844,Dan Liu,Dan Liu,2,138,1.45,2024,2024,2.0,https://orcid.org/0000-0002-4684-0318,High,2,0
479,A5100326863,Dan Liu,Dan Liu,2,112,1.79,2020,2023,1.0,https://orcid.org/0000-0002-9497-4898,High,2,0
480,A5100411848,Dan Wang,Dan Wang,2,41,4.88,2020,2024,4.0,https://orcid.org/0000-0002-8109-789X,High,2,0
481,A5100656521,Dongmei Wu,Dong Mei Wu,2,68,2.94,2022,2023,5.0,https://orcid.org/0009-0002-8483-5883,High,2,0
482,A5100656514,Dong‐Mei Wu,Dong Mei Wu,2,7,28.57,2022,2022,5.0,https://orcid.org/0000-0001-7227-7461,High,2,0
483,A5007205237,Fang Liu,Fang Liu,2,283,0.71,2018,2018,4.5,https://orcid.org/0000-0002-2913-6580,High,2,0
484,A5082831505,Fang Liu,Fang Liu,2,193,1.04,2024,2025,3.5,https://orcid.org/0000-0002-1711-6347,High,2,0
485,A5089710739,Fang Liu,Fang Liu,2,667,0.3,2022,2024,1.0,https://orcid.org/0000-0001-5126-8881,High,2,0
486,A5100453027,Fang Liu,Fang Liu,2,28,7.14,2023,2025,1.5,https://orcid.org/0000-0001-8577-1303,High,2,0
487,A5100453122,Fang Liu,Fang Liu,2,211,0.95,2013,2022,0.0,https://orcid.org/0000-0003-2922-4414,High,2,0
488,A5100453126,Fang Liu,Fang Liu,2,408,0.49,2023,2023,1.0,https://orcid.org/0000-0003-3456-160X,High,2,0
489,A5100609965,Fang Liu,Fang Liu,2,473,0.42,2022,2025,1.0,https://orcid.org/0000-0002-6213-9572,High,2,0
490,A5108397355,Fang Liu,Fang Liu,2,109,1.83,2023,2023,0.5,https://orcid.org/0000-0002-4528-6087,High,2,0
491,A5042092603,Fang Wang,Fang Wang,2,152,1.32,2013,2025,0.5,https://orcid.org/0000-0002-7409-0841,High,2,0
492,A5100321381,Fang Wang,Fang Wang,2,995,0.2,2011,2017,0.0,https://orcid.org/0000-0001-9986-0948,High,2,0
493,A5100321405,Fang Wang,Fang Wang,2,166,1.2,2020,2021,1.0,https://orcid.org/0000-0002-3510-4550,High,2,0
494,A5100455717,Fei Wang,Fei Wang,2,66,3.03,2022,2023,1.5,https://orcid.org/0000-0001-6334-4829,High,2,0
495,A5100455807,Fei Wang,Fei Wang,2,680,0.29,2012,2023,4.0,https://orcid.org/0000-0002-2513-502X,High,2,0
496,A5100455868,Fei Wang,Fei Wang,2,542,0.37,2009,2009,0.0,https://orcid.org/0000-0002-7332-9726,High,2,0
497,A5100455879,Fei Wang,Fei Wang,2,146,1.37,2023,2023,1.0,https://orcid.org/0000-0002-8158-0742,High,2,0
498,A5100455922,Fei Wang,Fei Wang,2,67,2.99,2023,2023,1.5,https://orcid.org/0000-0003-0885-8178,High,2,0
499,A5011410001,Feng Li,Feng Li,2,11,18.18,2023,2023,1.5,https://orcid.org/0000-0001-8826-346X,High,2,0
500,A5100448816,Feng Li,Feng Li,2,394,0.51,2023,2025,5.0,https://orcid.org/0000-0001-5868-7456,High,2,0
501,A5100448982,Feng Li,Feng Li,2,244,0.82,2022,2023,1.0,https://orcid.org/0000-0003-3169-6349,High,2,0
502,A5100659803,Feng Li,Feng Li,2,128,1.56,2023,2025,3.0,https://orcid.org/0000-0002-0763-014X,High,2,0
503,A5038580778,Feng Wang,Feng Wang,2,24,8.33,2024,2024,2.5,https://orcid.org/0000-0002-1465-9143,High,2,0
504,A5043290888,Feng Wang,Feng Wang,2,7,28.57,2011,2021,1.5,https://orcid.org/0000-0002-6050-154X,High,2,0
505,A5074719379,Feng Wang,Feng Wang,2,43,4.65,2011,2014,0.5,https://orcid.org/0000-0003-4825-1151,High,2,0
506,A5100422247,Feng Wang,Feng Wang,2,59,3.39,2023,2023,2.0,https://orcid.org/0000-0001-5066-0080,High,2,0
507,A5100438621,Gang Li,Gang Li,2,43,4.65,2025,2025,1.0,https://orcid.org/0000-0001-6680-961X,High,2,0
508,A5100438635,Gang Li,Gang Li,2,348,0.57,2023,2024,4.0,https://orcid.org/0000-0001-7787-9330,High,2,0
509,A5100438676,Gang Li,Gang Li,2,51,3.92,2011,2024,1.0,https://orcid.org/0000-0002-2113-0096,High,2,0
510,A5100438696,Gang Li,Gang Li,2,1322,0.15,2021,2025,1.5,https://orcid.org/0000-0002-4549-293X,High,2,0
511,A5100438769,Gang Li,Gang Li,2,1004,0.2,2022,2023,2.5,https://orcid.org/0000-0003-1583-641X,High,2,0
512,A5100664640,Gang Li,Gang Li,2,220,0.91,2017,2025,0.5,https://orcid.org/0000-0001-9903-9121,High,2,0
513,A5100367317,Gang Wang,Gang Wang,2,3,66.67,2021,2022,4.5,https://orcid.org/0000-0001-7423-2128,High,2,0
514,A5100367350,Gang Wang,Gang Wang,2,23,8.7,2025,2025,1.0,https://orcid.org/0000-0002-1593-715X,High,2,0
515,A5100367375,Gang Wang,Gang Wang,2,47,4.26,2024,2024,2.0,https://orcid.org/0000-0002-4212-2968,High,2,0
516,A5100367419,Gang Wang,Gang Wang,2,54,3.7,2022,2023,4.5,https://orcid.org/0000-0002-9109-5601,High,2,0
517,A5100367482,Gang Wang,Gang Wang,2,76,2.63,2017,2023,4.5,https://orcid.org/0009-0002-4385-4658,High,2,0
518,A5059526453,Hao Chen,Hao Chen,2,277,0.72,2015,2023,1.0,https://orcid.org/0000-0001-8319-8101,High,2,0
519,A5100353471,Hao Chen,Hao Chen,2,119,1.68,2023,2023,2.0,https://orcid.org/0000-0001-5902-1824,High,2,0
520,A5100353663,Hao Chen,Hao Chen,2,332,0.6,2023,2023,5.5,https://orcid.org/0000-0003-4339-3441,High,2,0
521,A5100719808,Hao Chen,Hao Chen,2,40,5.0,2022,2024,6.0,https://orcid.org/0000-0002-5141-2772,High,2,0
522,A5072657419,Hao Wang,Hao Wang,2,162,1.23,2018,2024,2.5,https://orcid.org/0000-0003-1537-661X,High,2,0
523,A5100446064,Hao Wang,Hao Wang,2,2009,0.1,2023,2023,1.0,https://orcid.org/0000-0001-9301-5989,High,2,0
524,A5100769024,Hao Wang,Hao Wang,2,271,0.74,2023,2025,2.5,https://orcid.org/0000-0003-4493-3147,High,2,0
525,A5059675915,Hao Zhang,Hao Zhang,2,173,1.16,2021,2022,4.0,https://orcid.org/0000-0003-1734-6051,High,2,0
526,A5100396825,Hao Zhang,Hao Zhang,2,85,2.35,2023,2023,1.0,https://orcid.org/0000-0001-9474-3195,High,2,0
527,A5100396936,Hao Zhang,Hao Zhang,2,186,1.08,2021,2025,4.0,https://orcid.org/0000-0002-6166-2089,High,2,0
528,A5100397064,Hao Zhang,Hao Zhang,2,643,0.31,2020,2024,4.0,https://orcid.org/0000-0003-4093-5647,High,2,0
529,A5066215279,Hong Li,Hong Li,2,178,1.12,2023,2023,5.0,https://orcid.org/0000-0002-9192-1213,High,2,0
530,A5100339418,Hong Li,Hong Li,2,1974,0.1,2022,2025,4.0,https://orcid.org/0000-0002-8659-086X,High,2,0
531,A5100642775,Hong Li,Hong Li,2,88,2.27,2021,2021,2.5,https://orcid.org/0000-0001-5195-4339,High,2,0
532,A5100370869,Hong Wang,Hong Wang,2,104,1.92,2021,2024,6.5,https://orcid.org/0000-0001-6905-438X,High,2,0
533,A5100370914,Hong Wang,Hong Wang,2,61,3.28,2023,2023,1.0,https://orcid.org/0000-0002-3274-8764,High,2,0
534,A5100370940,Hong Wang,Hong Wang,2,542,0.37,2020,2023,4.5,https://orcid.org/0000-0002-6215-6348,High,2,0
535,A5005983977,Hong Zhang,Hong Zhang,2,229,0.87,2009,2010,0.0,https://orcid.org/0000-0003-2057-8427,High,2,0
536,A5100430241,Hong Zhang,Hong Zhang,2,399,0.5,2015,2024,2.0,https://orcid.org/0000-0001-7670-626X,High,2,0
537,A5100430253,Hong Zhang,Hong Zhang,2,336,0.6,2023,2024,8.5,https://orcid.org/0000-0001-9855-4068,High,2,0
538,A5100430256,Hong Zhang,Hong Zhang,2,17,11.76,2021,2023,6.0,https://orcid.org/0000-0002-0650-0482,High,2,0
539,A5100430333,Hong Zhang,Hong Zhang,2,22,9.09,2022,2023,4.5,https://orcid.org/0000-0002-9573-2436,High,2,0
540,A5100430342,Hong Zhang,Hong Zhang,2,36,5.56,2021,2021,3.5,https://orcid.org/0000-0003-1682-8171,High,2,0
541,A5100604501,Hong Zhang,Hong Zhang,2,15,13.33,2023,2023,3.0,https://orcid.org/0000-0002-9197-4462,High,2,0
542,A5100423847,Hui Li,Hui Li,2,60,3.33,2020,2024,0.5,https://orcid.org/0000-0001-9722-2619,High,2,0
543,A5100423886,Hui Li,Hui Li,2,290,0.69,2021,2023,2.5,https://orcid.org/0000-0002-4114-8349,High,2,0
544,A5100423962,Hui Li,Hui Li,2,47,4.26,2022,2025,7.0,https://orcid.org/0000-0003-2287-9493,High,2,0
545,A5100423990,Hui Li,Hui Li,2,159,1.26,2023,2024,6.5,https://orcid.org/0000-0003-4212-9155,High,2,0
546,A5100423995,Hui Li,Hui Li,2,455,0.44,2019,2022,1.5,https://orcid.org/0000-0003-4759-1779,High,2,0
547,A5100632608,Hui Li,Hui Li,2,14,14.29,2023,2025,2.5,https://orcid.org/0000-0002-0491-3638,High,2,0
548,A5100654977,Hui Li,Hui Li,2,893,0.22,2022,2023,1.0,https://orcid.org/0000-0001-9355-1116,High,2,0
549,A5100677514,Hui Li,Hui Li,2,6,33.33,2024,2026,3.0,https://orcid.org/0000-0001-5892-8803,High,2,0
550,A5100733485,Hui Li,Hui Li,2,267,0.75,2021,2022,4.0,https://orcid.org/0000-0003-0103-1872,High,2,0
551,A5113149079,Hui Li,Hui Li,2,24,8.33,2023,2023,5.0,https://orcid.org/0000-0003-3262-569X,High,2,0
552,A5117779795,Hui Li,Hui Li,2,200,1.0,2023,2024,1.5,https://orcid.org/0000-0002-7031-8562,High,2,0
553,A5012063033,Hui Liu,Hui Liu,2,3,66.67,2023,2023,1.0,https://orcid.org/0000-0003-0798-8667,High,2,0
554,A5100387540,Hui Liu,Hui Liu,2,11,18.18,2024,2025,1.5,https://orcid.org/0000-0001-9986-1473,High,2,0
555,A5100387574,Hui Liu,Hui Liu,2,303,0.66,2021,2025,5.0,https://orcid.org/0000-0002-4105-8570,High,2,0
556,A5100387599,Hui Liu,Hui Liu,2,137,1.46,2025,2025,5.0,https://orcid.org/0000-0003-3773-174X,High,2,0
557,A5100387656,Hui Liu,Hui Liu,2,1127,0.18,2010,2011,0.0,https://orcid.org/0000-0003-2693-2546,High,2,0
558,A5042882563,Hui Wang,Hui Wang,2,2,100.0,2023,2023,1.0,,High,2,0
559,A5065351471,Hui Wang,Hui Wang,2,94,2.13,2022,2025,1.5,https://orcid.org/0000-0001-8419-4110,High,2,0
560,A5100460717,Hui Wang,Hui Wang,2,144,1.39,2023,2025,6.0,https://orcid.org/0000-0001-9651-2729,High,2,0
561,A5100460827,Hui Wang,Hui Wang,2,637,0.31,2015,2024,2.0,https://orcid.org/0000-0002-7639-5702,High,2,0
562,A5100460897,Hui Wang,Hui Wang,2,433,0.46,2021,2023,2.0,https://orcid.org/0000-0003-1450-6320,High,2,0
563,A5100460913,Hui Wang,Hui Wang,2,86,2.33,2023,2024,0.5,https://orcid.org/0000-0003-2238-8782,High,2,0
564,A5100460916,Hui Wang,Hui Wang,2,226,0.88,2023,2023,6.0,https://orcid.org/0000-0003-2568-7200,High,2,0
565,A5100460953,Hui Wang,Hui Wang,2,241,0.83,2011,2014,2.0,https://orcid.org/0000-0003-4722-4776,High,2,0
566,A5100603359,Hui Wang,Hui Wang,2,340,0.59,2009,2024,1.5,https://orcid.org/0000-0002-0663-5651,High,2,0
567,A5100678679,Hui Wang,Hui Wang,2,313,0.64,2011,2011,0.0,https://orcid.org/0000-0003-0493-185X,High,2,0
568,A5115602022,Hui Wang,Hui Wang,2,508,0.39,2021,2022,7.5,https://orcid.org/0000-0001-8478-9990,High,2,0
569,A5019822259,Hui Zhang,Hui Zhang,2,5,40.0,2023,2023,1.0,https://orcid.org/0000-0002-4081-2834,High,2,0
570,A5032345419,Hui Zhang,Hui Zhang,2,57,3.51,2023,2025,2.5,https://orcid.org/0000-0003-2556-9423,High,2,0
571,A5100323330,Hui Zhang,Hui Wang; Hui Zhang,2,22,9.09,2023,2023,2.0,https://orcid.org/0000-0001-5716-9331,High,2,0
572,A5100323405,Hui Zhang,Hui Zhang,2,607,0.33,2015,2023,2.5,https://orcid.org/0000-0002-0756-9334,High,2,0
573,A5100323451,Hui Zhang,Hui Zhang,2,530,0.38,2009,2015,2.5,https://orcid.org/0000-0002-4819-6482,High,2,0
574,A5100663269,Hui Zhang,Hui Zhang,2,1111,0.18,2011,2022,0.5,https://orcid.org/0000-0002-2508-4912,High,2,0
575,A5132799693,J Boldt,Joachim Boldt,2,2,100.0,2026,2026,22.5,,Review,0,2
576,A5100402458,Jian Li,Jian Li,2,841,0.24,2022,2025,2.5,https://orcid.org/0000-0002-0030-1423,High,2,0
577,A5100402479,Jian Li,Jian Li,2,174,1.15,2019,2023,0.5,https://orcid.org/0000-0002-2350-3968,High,2,0
578,A5100402604,Jian Li,Jian Li,2,264,0.76,2024,2024,4.0,https://orcid.org/0000-0003-3097-7210,High,2,0
579,A5100602299,Jian Li,Jian Li,2,184,1.09,2010,2010,0.0,https://orcid.org/0000-0001-8783-6000,High,2,0
580,A5100710279,Jian Li,Jian Li,2,181,1.1,2014,2024,1.0,https://orcid.org/0000-0003-1033-842X,High,2,0
581,A5101812357,Jian Li,Jian Li,2,7,28.57,2023,2023,1.5,https://orcid.org/0000-0002-4333-7469,High,2,0
582,A5100686671,Jian Wang,Jian Wang,2,649,0.31,2011,2022,0.5,https://orcid.org/0000-0002-3106-5638,High,2,0
583,A5100758062,Jian Wang,Jian Wang,2,468,0.43,2023,2025,1.0,https://orcid.org/0000-0003-3633-6799,High,2,0
584,A5115589622,Jian Wang,Jian Wang,2,198,1.01,2024,2026,6.0,https://orcid.org/0009-0006-9630-3111,High,2,0
585,A5029116476,Jian Xu,Jian Xu,2,112,1.79,2011,2022,4.5,https://orcid.org/0000-0002-4227-2608,High,2,0
586,A5034257967,Jian Xu,Jian Xu,2,337,0.59,2008,2011,0.0,https://orcid.org/0000-0001-5287-1009,High,2,0
587,A5086979542,Jian Xu,Jian Xu,2,4,50.0,2023,2023,1.0,https://orcid.org/0000-0002-2640-5722,High,2,0
588,A5000314950,Jian Zhang,Jian Zhang,2,176,1.14,2018,2019,1.0,https://orcid.org/0000-0001-7681-8747,High,2,0
589,A5091790870,Jian Zhang,Jian Zhang,2,188,1.06,2022,2026,3.0,https://orcid.org/0000-0003-3612-7989,High,2,0
590,A5100409892,Jian Zhang,Jian Zhang,2,88,2.27,2020,2020,7.0,https://orcid.org/0000-0001-8338-9426,High,2,0
591,A5100409969,Jian Zhang,Jian Zhang,2,412,0.49,2015,2025,1.5,https://orcid.org/0000-0002-5093-4325,High,2,0
592,A5100409987,Jian Zhang,Jian Zhang,2,1545,0.13,2023,2023,2.0,https://orcid.org/0000-0002-6558-791X,High,2,0
593,A5100410059,Jian Zhang,Jian Zhang,2,65,3.08,2023,2023,2.0,https://orcid.org/0000-0003-1375-4947,High,2,0
594,A5100680432,Jian Zhang,Jian Zhang,2,214,0.93,2023,2023,2.0,https://orcid.org/0000-0002-8411-8131,High,2,0
595,A5008114041,Jie Chen,Jie Chen,2,591,0.34,2022,2023,3.0,https://orcid.org/0000-0002-9254-4413,High,2,0
596,A5100332848,Jie Chen,Jie Chen,2,271,0.74,2009,2020,6.0,https://orcid.org/0000-0001-8113-3515,High,2,0
597,A5100332904,Jie Chen,Jie Chen,2,355,0.56,2015,2016,4.0,https://orcid.org/0000-0002-2658-9525,High,2,0
598,A5100332975,Jie Chen,Jie Chen,2,100,2.0,2019,2024,4.5,https://orcid.org/0000-0002-8800-1539,High,2,0
599,A5100332999,Jie Chen,Jie Chen,2,466,0.43,2015,2025,1.5,https://orcid.org/0000-0003-2052-8155,High,2,0
600,A5100428821,Jie Chen,Jie Chen,2,805,0.25,2011,2025,0.5,https://orcid.org/0000-0003-3171-1887,High,2,0
601,A5100392763,Jie Li,Jie Li,2,195,1.03,2023,2025,2.5,https://orcid.org/0000-0002-9014-8900,High,2,0
602,A5100428220,Jie Li,Jie Li,2,18,11.11,2020,2021,2.0,https://orcid.org/0000-0002-2345-7711,High,2,0
603,A5036359133,Jie Liu,Jie Liu,2,9,22.22,2023,2023,1.0,https://orcid.org/0000-0002-1391-2936,High,2,0
604,A5100454028,Jie Liu,Jie Liu,2,158,1.27,2023,2023,4.5,https://orcid.org/0000-0001-8219-2429,High,2,0
605,A5100454057,Jie Liu,Jie Liu,2,245,0.82,2022,2022,3.0,https://orcid.org/0000-0002-1069-2384,High,2,0
606,A5100454108,Jie Liu,Jie Liu,2,654,0.31,2021,2024,4.5,https://orcid.org/0000-0002-4530-1443,High,2,0
607,A5100454130,Jie Liu,Jie Liu,2,98,2.04,2021,2022,5.0,https://orcid.org/0000-0002-6359-637X,High,2,0
608,A5100454211,Jie Liu,Jie Liu,2,436,0.46,2023,2023,2.0,https://orcid.org/0000-0003-3745-7541,High,2,0
609,A5100439994,Jie Wang,Jie Wang,2,53,3.77,2024,2025,5.5,https://orcid.org/0000-0001-6286-9893,High,2,0
610,A5100440120,Jie Wang,Jie Wang,2,220,0.91,2021,2022,4.5,https://orcid.org/0000-0002-7491-7001,High,2,0
611,A5100436684,Jie Zhang,Jie Zhang,2,310,0.65,2021,2025,3.0,https://orcid.org/0000-0002-0466-2955,High,2,0
612,A5100436704,Jie Zhang,Jie Zhang,2,667,0.3,2019,2023,0.0,https://orcid.org/0000-0002-1397-5224,High,2,0
613,A5100436712,Jie Zhang,Jie Zhang,2,355,0.56,2023,2023,1.0,https://orcid.org/0000-0002-1985-5485,High,2,0
614,A5082431907,Jin Wang,Jin Wang,2,791,0.25,2018,2025,6.0,https://orcid.org/0000-0003-3625-7919,High,2,0
615,A5100346104,Jin Wang,Jin Wang,2,209,0.96,2017,2024,3.5,https://orcid.org/0000-0001-5178-7606,High,2,0
616,A5100346109,Jin Wang,Jin Wang,2,108,1.85,2016,2018,0.5,https://orcid.org/0000-0001-5511-3983,High,2,0
617,A5050008040,Jin Zhang,Jin Zhang,2,339,0.59,2023,2023,3.5,https://orcid.org/0000-0002-9117-2793,High,2,0
618,A5100405986,Jin Zhang,Jin Zhang,2,40,5.0,2023,2025,5.0,https://orcid.org/0000-0002-7365-4262,High,2,0
619,A5100406022,Jin Zhang,Jin Zhang,2,144,1.39,2010,2025,2.5,https://orcid.org/0000-0003-4871-6318,High,2,0
620,A5100612612,Jin Zhang,Jin Zhang,2,238,0.84,2010,2021,0.5,https://orcid.org/0000-0001-7574-2808,High,2,0
621,A5039796943,Jing Chen,Jing Chen,2,2,100.0,2023,2023,1.0,https://orcid.org/0000-0002-9757-6027,High,2,0
622,A5100394815,Jing Chen,Jing Chen,2,192,1.04,2012,2012,0.0,https://orcid.org/0000-0001-6914-6233,High,2,0
623,A5100659048,Jing Chen,Jing Chen,2,502,0.4,2010,2025,2.5,https://orcid.org/0000-0001-9298-2651,High,2,0
624,A5112114445,Jing Chen,Jing Chen,2,63,3.17,2012,2013,0.0,https://orcid.org/0009-0002-4016-1813,High,2,0
625,A5100336803,Jing Li,Jing Li,2,134,1.49,2020,2023,2.0,https://orcid.org/0000-0001-8331-1661,High,2,0
626,A5100336858,Jing Li,Jing Li,2,143,1.4,2021,2023,6.0,https://orcid.org/0000-0002-0079-693X,High,2,0
627,A5100336946,Jing Li,Jing Li,2,274,0.73,2023,2024,2.0,https://orcid.org/0000-0002-5381-4716,High,2,0
628,A5100337152,Jing Li,Jing Li,2,146,1.37,2019,2024,5.5,https://orcid.org/0009-0007-3236-9637,High,2,0
629,A5100337858,Jing Li,Jing Li,2,55,3.64,2025,2026,11.0,https://orcid.org/0000-0002-3295-5632,High,2,0
630,A5100402578,Jing Li,Jing Li,2,415,0.48,2023,2025,4.5,https://orcid.org/0000-0003-1350-7460,High,2,0
631,A5038517767,Jing Liu,Jing Liu,2,129,1.55,2010,2010,0.0,https://orcid.org/0000-0002-9918-8642,High,2,0
632,A5100374938,Jing Liu,Jing Liu,2,92,2.17,2023,2024,2.0,https://orcid.org/0000-0001-7843-3883,High,2,0
633,A5100375038,Jing Liu,Jing Liu,2,591,0.34,2025,2025,2.0,https://orcid.org/0000-0002-6834-5350,High,2,0
634,A5100375042,Jing Liu,Jing Liu,2,81,2.47,2013,2024,1.0,https://orcid.org/0000-0002-7301-0125,High,2,0
635,A5100375065,Jing Liu,Jing Liu,2,507,0.39,2011,2022,1.5,https://orcid.org/0000-0002-8740-4600,High,2,0
636,A5100375136,Jing Liu,Jing Liu,2,630,0.32,2023,2026,2.5,https://orcid.org/0000-0003-4690-1886,High,2,0
637,A5100687713,Jing Liu,Jing Liu,2,340,0.59,2024,2024,3.5,https://orcid.org/0000-0002-6730-9198,High,2,0
638,A5101446656,Jing Liu,Jing Liu,2,159,1.26,2016,2023,1.0,https://orcid.org/0000-0002-8181-8159,High,2,0
639,A5114860112,Jing Liu,Jing Liu,2,56,3.57,2010,2011,0.0,https://orcid.org/0009-0004-7396-1846,High,2,0
640,A5115588071,Jing Liu,Jing Liu,2,361,0.55,2010,2023,0.5,https://orcid.org/0009-0009-3229-2291,High,2,0
641,A5028389743,Jing Wang,Jing Wang,2,385,0.52,2011,2022,0.5,https://orcid.org/0000-0002-2407-5985,High,2,0
642,A5068132266,Jing Wang,Jing Wang,2,117,1.71,2011,2023,1.0,https://orcid.org/0000-0001-6351-6758,High,2,0
643,A5071018015,Jing Wang,Jing Wang,2,62,3.23,2020,2021,1.0,https://orcid.org/0000-0002-0790-100X,High,2,0
644,A5100378428,Jing Wang,Jing Wang,2,163,1.23,2021,2023,3.5,https://orcid.org/0000-0002-0398-862X,High,2,0
645,A5100378447,Jing Wang,Jing Wang,2,1441,0.14,2018,2022,1.0,https://orcid.org/0000-0002-1246-991X,High,2,0
646,A5100378493,Jing Wang,Jing Wang,2,137,1.46,2019,2025,0.5,https://orcid.org/0000-0002-3499-8337,High,2,0
647,A5100378506,Jing Wang,Jing Wang,2,64,3.12,2020,2020,1.0,https://orcid.org/0000-0002-4076-9274,High,2,0
648,A5100378570,Jing Wang,Jing Wang,2,391,0.51,2015,2024,4.5,https://orcid.org/0000-0002-7120-0857,High,2,0
649,A5100378575,Jing Wang,Jing Wang,2,623,0.32,2009,2023,0.5,https://orcid.org/0000-0002-7501-8702,High,2,0
650,A5100378594,Jing Wang,Jing Wang,2,337,0.59,2019,2024,8.0,https://orcid.org/0000-0002-8213-3725,High,2,0
651,A5100378677,Jing Wang,Jing Wang,2,404,0.5,2022,2024,1.5,https://orcid.org/0000-0003-2410-5408,High,2,0
652,A5100378691,Jing Wang,Jing Wang,2,90,2.22,2025,2025,2.5,https://orcid.org/0000-0003-3290-5069,High,2,0
653,A5100643197,Jing Wang,Jing Wang,2,16,12.5,2021,2025,6.0,https://orcid.org/0000-0002-9484-2932,High,2,0
654,A5100759077,Jing Wang,Jing Wang,2,851,0.24,2011,2021,1.5,https://orcid.org/0000-0003-2078-137X,High,2,0
655,A5101711605,Jing Wang,Jing Wang,2,6,33.33,2026,2026,2.5,https://orcid.org/0000-0002-1938-7378,High,2,0
656,A5114546958,Jing Wei Liu,Jing Liu,2,4,50.0,2026,2026,2.0,https://orcid.org/0000-0001-9280-8442,High,2,0
657,A5024036992,Jing Yang,Jing Yang,2,182,1.1,2023,2023,1.0,https://orcid.org/0000-0001-5481-7962,High,2,0
658,A5031540238,Jing Yang,Jing Yang,2,27,7.41,2023,2024,5.5,https://orcid.org/0000-0001-5975-4315,High,2,0
659,A5043542067,Jing Zhang,Jing Zhang,2,418,0.48,2023,2025,6.5,https://orcid.org/0000-0002-5726-3974,High,2,0
660,A5086548040,Jing Zhang,Jing Zhang,2,212,0.94,2010,2024,1.0,https://orcid.org/0000-0002-1042-7433,High,2,0
661,A5100345321,Jing Zhang,Jing Zhang,2,1012,0.2,2023,2024,2.0,https://orcid.org/0000-0001-6595-7661,High,2,0
662,A5100345373,Jing Zhang,Jing Zhang,2,771,0.26,2021,2022,1.0,https://orcid.org/0000-0002-2488-5021,High,2,0
