rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,exact_match_papers,initial_match_papers
50,A5100425554,Li Zhang,Li Zhang,9,4045,0.22,2017,2024,3,https://orcid.org/0000-0002-3617-2627,High,9,0
51,A5100430306,Hong Zhang,Hong Zhang,8,1527,0.52,2010,2025,4.0,https://orcid.org/0000-0002-6191-0046,High,8,0
52,A5100456534,Liang Wang,Liang Wang,8,1273,0.63,2016,2025,3.0,https://orcid.org/0000-0002-5247-6727,High,8,0
53,A5100456567,Liang Wang,Liang Wang,8,378,2.12,2019,2023,3.0,https://orcid.org/0000-0002-9364-8572,High,8,0
54,A5100398732,Ling Wang,Ling Wang,8,754,1.06,2010,2025,4.0,https://orcid.org/0000-0003-4905-9903,High,8,0
55,A5086048534,M. Ghoranneviss,M Ghoranneviss,8,137,5.84,2018,2024,7.5,,High,8,0
56,A5100340910,Min Wang,Min Wang,8,1146,0.7,2012,2023,1.5,https://orcid.org/0000-0002-3420-4031,High,8,0
57,A5100341105,Nan Li,Nan Li,8,106,7.55,2015,2021,13.0,https://orcid.org/0000-0003-1179-0063,High,8,0
58,A5100405781,Ping Zhang,Ping Zhang,8,4482,0.18,2010,2023,1.0,https://orcid.org/0000-0001-9163-6191,High,8,0
59,A5100318325,Wěi Li,Wei Li,8,2222,0.36,1996,2024,2.0,https://orcid.org/0000-0002-9522-4474,High,8,0
60,A5100351056,Yan Liu,Yan Liu,8,575,1.39,2012,2023,2.5,https://orcid.org/0000-0002-2067-4569,High,8,0
61,A5100380747,Dan Li,Dan Li,7,637,1.1,2011,2024,2,https://orcid.org/0000-0002-5586-4055,High,7,0
62,A5110163940,Hiroyoshi Tanaka,Hiroyoshi Tanaka,7,10,70.0,2012,2013,16,,High,7,0
63,A5108600470,Hua Zhong,Hua Zhong,7,131,5.34,2009,2009,2,https://orcid.org/0009-0005-7000-3834,High,7,0
64,A5100402534,Jian Li,Jian Li,7,1373,0.51,2009,2024,2,https://orcid.org/0000-0002-7521-8798,High,7,0
65,A5113414416,Jin Wang,Jin Wang,7,1652,0.42,2010,2026,1,https://orcid.org/0000-0002-8298-4378,High,7,0
66,A5111964102,Jun Wang,Jun Wang,7,3202,0.22,2017,2025,3,https://orcid.org/0009-0008-8475-2934,High,7,0
67,A5100434028,Lei Zhang,Lei Zhang,7,2382,0.29,2011,2024,1,https://orcid.org/0000-0003-2343-084X,High,7,0
68,A5100422067,Rui Zhang,Rui Zhang,7,421,1.66,2020,2024,4,https://orcid.org/0000-0002-6147-1573,High,7,0
69,A5100338067,Tao Liu,Tao Liu,7,1015,0.69,2011,2024,2,https://orcid.org/0000-0001-6244-7316,High,7,0
70,A5100453396,Tao Wang,Tao Wang,7,496,1.41,2016,2023,3,https://orcid.org/0000-0001-6402-5571,High,7,0
71,A5100391890,Wei Wang,Wei Wang,7,828,0.85,2016,2024,3,https://orcid.org/0000-0002-1614-0759,High,7,0
72,A5100391941,Wei Wang,Wei Wang,7,581,1.2,2014,2024,3,https://orcid.org/0000-0002-3422-0402,High,7,0
73,A5100353891,Xin Li,Xin Li,7,260,2.69,2022,2024,2,https://orcid.org/0000-0002-5175-5409,High,7,0
74,A5100354018,Xin Li,Xin Li,7,646,1.08,2023,2025,3,https://orcid.org/0000-0003-0958-1078,High,7,0
75,A5100767367,Bin Liu,Bin Liu,6,435,1.38,2015,2026,5.5,https://orcid.org/0000-0002-9113-9694,High,6,0
76,A5016204133,D. Liakopoulos,Dimitris Liakopoulos,6,7,85.71,2021,2021,12.0,,Review,0,6
77,A5100411794,Dan Wang,Dan Wang,6,1125,0.53,2010,2026,1.0,https://orcid.org/0000-0002-0921-2726,High,6,0
78,A5100411814,Dan Wang,Dan Wang,6,381,1.57,2015,2026,4.0,https://orcid.org/0000-0002-3814-7556,High,6,0
79,A5100453114,Fang Liu,Fang Liu,6,800,0.75,2022,2025,5.0,https://orcid.org/0000-0003-1707-5183,High,6,0
80,A5023828770,Feng Wang,Feng Wang,6,193,3.11,2014,2024,0.5,https://orcid.org/0000-0003-4068-3339,High,6,0
81,A5100367379,Gang Wang,Gang Wang,6,338,1.78,2021,2025,5.0,https://orcid.org/0000-0002-4690-9020,High,6,0
82,A5100367389,Gang Wang,Gang Wang,6,1174,0.51,2010,2025,2.0,https://orcid.org/0000-0002-5842-8080,High,6,0
83,A5100367417,Gang Wang,Gang Wang,6,315,1.9,2025,2025,1.0,https://orcid.org/0000-0002-8836-1593,High,6,0
84,A5100423905,Hui Li,Hui Li,6,692,0.87,2015,2023,2.5,https://orcid.org/0000-0002-5604-0592,High,6,0
85,A5100436834,Jie Zhang,Jie Zhang,6,334,1.8,2011,2024,4.5,https://orcid.org/0000-0003-0242-8812,High,6,0
