openalex_author_id,author,publisher,unique_retracted_papers
A5100321405,Fang Wang,Elsevier,1
A5100321405,Fang Wang,Taylor and Francis - Dove Press,1
A5100321414,Fang Wang,Hindawi,1
A5100321414,Fang Wang,Impact Journals,1
A5100321414,Fang Wang,Springer - Biomed Central (BMC),1
A5100321431,Fang Wang,Taylor and Francis,1
A5100321435,Fang Wang,Hindawi,1
A5100321443,Fang Wang,Hindawi,1
A5100321444,Fang Wang,PLoS,1
A5100321446,Fang Wang,Scientific.net,1
A5100321464,Fang Wang,Springer,1
A5100321469,Fang Wang,PLoS,1
A5100321481,Fang Wang,IOS Press (bought by Sage November 2023),1
A5100321493,Fang Wang,Wiley,2
A5100321493,Fang Wang,Elsevier - Cell Press,1
A5100321493,Fang Wang,SAGE Publications,1
A5100322467,Yan Wang,Hindawi,1
A5100322487,Yan Wang,Wiley,1
A5100322501,Yang Wang,Hindawi,1
A5100322505,Yan Wang,Wiley,1
A5100322552,Yan Wang,IOP Publishing,1
A5100322554,Yang Wang,Impact Journals,1
A5100322554,Yang Wang,Taylor and Francis,1
A5100322562,Yang Wang,Hindawi,1
A5100322589,Yan Wang,Taylor and Francis,1
A5100322600,Yan Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100322615,Yan Wang,Springer,1
A5100322615,Yan Wang,Wiley,1
A5100322617,Yan Wang,Hindawi,1
A5100322657,Yan Wang,AME Publishing Company,1
A5100322657,Yan Wang,Wiley,1
A5100322659,Yan Wang,Springer,2
A5100322671,Yang Wang,Wiley,1
A5100322684,Yan Wang,Canadian Science Publishing,1
A5100322684,Yan Wang,Taylor and Francis,1
A5100322684,Yan Wang,Wiley,1
A5100322699,Yan Wang,Hindawi,1
A5100322712,Yan Wang,Springer - Nature Publishing Group,3
A5100322712,Yan Wang,Hindawi,1
A5100322712,Yan Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100322712,Yan Wang,Trans Tech Publications Ltd,1
A5100322731,Yang Wang,Hindawi,1
A5100322731,Yang Wang,Springer - Nature Publishing Group,1
A5100322740,Yan Wang,IOS Press (bought by Sage November 2023),1
A5100322752,Yan Wang,Hindawi,2
A5100322756,Yan Wang,Elsevier,1
A5100322764,Yang Wang,Taylor and Francis - Dove Press,1
A5100322769,Yan Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100322776,Yang Wang,Wiley,1
A5100322817,Yan Wang,Elsevier,1
A5100322825,Yan Wang,Hindawi,1
A5100322864,Lingling Wang,Springer,2
A5100322864,Lingling Wang,BioMed Central (BMC),1
A5100322866,Yang Wang,Hindawi,1
A5100322866,Yang Wang,Wiley,1
A5100322872,Yan Wang,Hindawi,1
A5100322879,Yang Wang,Hindawi,2
A5100322879,Yang Wang,BioMed Central (BMC),1
A5100322879,Yang Wang,Cellular Physiol Biochem Press,1
A5100322879,Yang Wang,Elsevier,1
A5100322879,Yang Wang,Springer - Nature Publishing Group,1
A5100322887,Yang Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100322887,Yang Wang,PLoS,1
A5100322908,Yan Wang,Elsevier,1
A5100322915,Yang Wang,IOP Publishing,1
A5100322919,Yan Wang,Hindawi,1
A5100322934,Yang Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100322938,Yan Wang,Elsevier,2
A5100322938,Yan Wang,Springer - Nature Publishing Group,2
A5100322938,Yan Wang,Cellular Physiol Biochem Press,1
A5100322938,Yan Wang,Hindawi,1
A5100322938,Yan Wang,Impact Journals,1
A5100322938,Yan Wang,Spandidos,1
A5100322938,Yan Wang,Springer,1
A5100322938,Yan Wang,Springer - Biomed Central (BMC),1
A5100322938,Yan Wang,Taylor and Francis,1
A5100322948,Yan Wang,IOP Publishing,1
A5100322966,Yan Wang,IOS Press (bought by Sage November 2023),1
A5100323011,Yang Wang,Springer,1
A5100323015,Yan Wang,Hindawi,1
A5100323330,Hui Zhang,Hindawi,2
A5100323333,Hui Zhang,Wiley,1
A5100323343,Hui Zhang,Elsevier,1
A5100323378,Hui Zhang,Hindawi,1
A5100323389,Hui Zhang,BioMed Central (BMC),1
A5100323391,Hui Zhang,PLoS,1
A5100323392,Hui Zhang,Spandidos,1
A5100323402,Hui Zhang,Hindawi,1
A5100323405,Hui Zhang,Hindawi,1
A5100323405,Hui Zhang,Taylor and Francis,1
A5100323451,Hui Zhang,Springer,1
A5100323451,Hui Zhang,Taylor and Francis,1
A5100323459,Hui Zhang,Hindawi,1
A5100323465,Hui Zhang,Hindawi,1
A5100323469,Hui Zhang,Royal Society of Chemistry (RSC),1
A5100323469,Hui Zhang,Taylor and Francis,1
A5100323469,Hui Zhang,Taylor and Francis - Dove Press,1
A5100323476,Hui Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100323483,Hui Zhang,Hindawi,1
A5100323495,Hui Zhang,BioMed Central (BMC),1
A5100323524,Hui Zhang,PLoS,1
A5100323524,Hui Zhang,Springer,1
A5100323524,Hui Zhang,Springer - Nature Publishing Group,1
A5100323524,Hui Zhang,Taylor and Francis - Dove Press,1
A5100323524,Hui Zhang,Wiley,1
A5100323552,Hui Zhang,Hindawi,1
A5100323568,Hui Zhang,Hindawi,1
A5100323572,Hui Zhang,Springer,1
A5100323577,Hui Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100324997,Wei Zhang,Hindawi,1
A5100324999,Wei Zhang,Hindawi,1
A5100325001,Wei Zhang,Springer,1
A5100325012,Hong Li,PLoS,1
A5100325014,Hong Li,Taylor and Francis,1
A5100325544,Yi Wang,Springer - Biomed Central (BMC),1
A5100326826,Dan Liu,IEEE: Institute of Electrical and Electronics Engineers,2
A5100326828,Dan Liu,PLoS,1
A5100326828,Dan Liu,Springer,1
A5100326831,Dan Liu,Hindawi,3
A5100326831,Dan Liu,Springer - Nature Publishing Group,2
A5100326831,Dan Liu,Elsevier,1
A5100326831,Dan Liu,Frontiers,1
A5100326831,Dan Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5100326831,Dan Liu,IOP Publishing,1
A5100326831,Dan Liu,Mary Ann Liebert,1
A5100326831,Dan Liu,Spandidos,1
A5100326831,Dan Liu,Springer,1
A5100326844,Dan Liu,Hindawi,2
A5100326850,Dan Liu,Frontiers,1
A5100326850,Dan Liu,Hindawi,1
A5100326850,Dan Liu,Wiley,1
A5100326855,Dan Liŭ,IEEE: Institute of Electrical and Electronics Engineers,1
A5100326859,Dan Liu,Hindawi,1
A5100326860,Dan Liu,Elsevier,1
A5100326863,Dan Liu,Hindawi,1
A5100326863,Dan Liu,Wiley,1
A5100326881,Dan Liu,Mary Ann Liebert,1
A5100326884,Dan Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5100326886,Dan Liu,Mary Ann Liebert,1
A5100327329,Xin Zhang,Hindawi,1
A5100327329,Xin Zhang,PLoS,1
A5100327329,Xin Zhang,Springer,1
A5100327362,Xin Zhang,Hindawi,1
A5100327375,Xin Zhang,Hindawi,1
A5100327375,Xin Zhang,Springer - Biomed Central (BMC),1
A5100327385,Xin Zhang,Springer,1
A5100327390,Xin Zhang,Hindawi,1
A5100327404,Xin Zhang,IOS Press (bought by Sage November 2023),1
A5100327420,Xin Zhang,Hindawi,1
A5100327438,Xın Zhang,Springer,1
A5100327453,Xin Zhang,World Scientific Publishing Company,1
A5100327509,Xin Zhang,Hindawi,1
A5100327515,Xin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100327526,Xin Zhang,Springer,1
A5100327527,Xin Zhang,Frontiers,1
A5100327558,Xin Zhang,Hindawi,1
A5100327584,Xin Zhang,PLoS,1
A5100327584,Xin Zhang,Portland Press,1
A5100327616,Xin Zhang,Springer - Biomed Central (BMC),1
A5100327617,Xin Zhang,Taylor and Francis,1
A5100327629,Xin Zhang,Springer,1
A5100327788,Xin Wang,Springer,1
A5100327793,Xin Wang,Elsevier,1
A5100327810,Xin Wang,Hindawi,1
A5100327815,Xin Wang,Hindawi,1
A5100327828,Xin Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100327833,Xin Wang,IOS Press (bought by Sage November 2023),1
A5100327835,Xin Wang,Hindawi,2
A5100327835,Xin Wang,Spandidos,2
A5100327835,Xin Wang,Elsevier,1
A5100327836,Xin Wang,Hindawi,2
A5100327836,Xin Wang,Elsevier,1
A5100327839,Xin Wang,Hindawi,1
A5100327844,Xin Wang,Elsevier - Cell Press,1
A5100327844,Xin Wang,Springer - Nature Publishing Group,1
A5100327859,Xin Wang,Springer - Biomed Central (BMC),1
A5100327900,Xin Wang,Hindawi,1
A5100327918,Xin Wang,Elsevier,1
A5100327957,Xin Wang,Hindawi,1
A5100327957,Xin Wang,Spandidos,1
A5100327957,Xin Wang,Springer,1
A5100327957,Xin Wang,Springer - Biomed Central (BMC),1
A5100327965,Xin Wang,Wiley,1
A5100327977,Xin Wang,Springer,1
A5100327977,Xin Wang,Wiley,1
A5100327998,Xin Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100328022,Xin Wang,Springer,1
A5100328026,Xin Wang,Hindawi,1
A5100328041,Xin Wang,Hindawi,1
A5100328087,Xin Wang,Hindawi,2
A5100328100,Xin Wang,Springer - Nature Publishing Group,1
A5100328102,Xin Wang,Japan Oil Chemists' Society,1
A5100328102,Xin Wang,Oxford University Press,1
A5100328102,Xin Wang,Wiley,1
A5100328112,Xin Wang,Hindawi,1
A5100328117,Xin Wang,Hindawi,1
A5100328128,Xin Wang,Hindawi,1
A5100328155,Xin Wang,Hindawi,1
A5100329833,Xi Chen,Impact Journals,1
A5100329833,Xi Chen,Springer - Biomed Central (BMC),1
A5100329833,Xi Chen,Wiley,1
A5100329836,Xi Chen,Springer - Biomed Central (BMC),1
A5100329840,Xi Chen,IOS Press (bought by Sage November 2023),1
A5100329858,Xi Chen,Hindawi,1
A5100329867,Xi Chen,Association for Computing Machinery (ACM),1
A5100329868,Xi Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100329875,Xi Chen,Hindawi,1
A5100329875,Xi Chen,Portland Press,1
A5100329875,Xi Chen,Spandidos,1
A5100329875,Xi Chen,Springer - Nature Publishing Group,1
A5100329875,Xi Chen,Wiley,1
A5100329885,Xi Chen,Ivyspring International Publisher,1
A5100329885,Xi Chen,Springer - Nature Publishing Group,1
A5100329885,Xi Chen,Taylor and Francis - Dove Press,1
A5100329909,Xi Chen,Wiley,1
A5100329931,Xi Chen,Hindawi,2
A5100329932,Xi Chen,Elsevier,1
A5100329932,Xi Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100329938,Xi Chen,Oxford University Press,1
A5100329981,Xi Chen,Elsevier - Cell Press,1
A5100329981,Xi Chen,Hindawi,1
A5100329981,Xi Chen,Royal Society of Chemistry (RSC),1
A5100329982,Xi Chen,Hindawi,1
A5100329989,Xi Chen,Elsevier - Cell Press,1
A5100329993,Xi Chen,Hindawi,1
A5100329996,Xi Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100330005,Xi Chen,Frontiers,1
A5100330006,Xi Chen,Elsevier,2
A5100330009,Xi Chen,Hindawi,1
A5100330034,Xi Chen,SAGE Publications,1
A5100330058,Xi Chen,Hindawi,1
A5100330058,Xi Chen,Springer - Nature Publishing Group,1
A5100330066,Xi Chen,Spandidos,1
A5100330381,Qian Li,Hindawi,1
A5100330803,Jun Li,Wolters Kluwer - Lippincott Williams & Wilkins,1
A5100332157,Jun Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100332820,Jie Chen,Hindawi,1
A5100332848,Jie Chen,Hindawi,1
A5100332848,Jie Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100332857,Jie Chen,Taylor and Francis,1
A5100332880,Jie Chen,Taylor and Francis,1
A5100332883,Jie Chen,Hindawi,1
A5100332904,Jie Chen,Elsevier,1
A5100332904,Jie Chen,Wiley,1
A5100332907,Jie Chen,PLoS,1
A5100332932,Jie Chen,Spandidos,1
A5100332958,Jie Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100332975,Jie Chen,PLoS,1
A5100332975,Jie Chen,Taylor and Francis - Dove Press,1
A5100332996,Jie Chen,Hindawi,1
A5100332996,Jie Chen,Impact Journals,1
A5100332996,Jie Chen,Springer - Nature Publishing Group,1
A5100332999,Jie Chen,Elsevier - Cell Press,1
A5100332999,Jie Chen,Springer,1
A5100333005,Jie Chen,Hindawi,1
A5100333009,Jie Chen,Wiley,1
A5100333014,Jie Chen,Hindawi,1
A5100333015,Jie Chen,Wiley,1
A5100335172,Bo Zhang,Elsevier,1
A5100335186,Bo Zhang,Hindawi,1
A5100335189,Bo Zhang,Elsevier,1
A5100335189,Bo Zhang,Taylor and Francis,1
A5100335191,Bo Zhang,Springer - Nature Publishing Group,1
A5100335192,Bo Zhang,Hindawi,1
A5100335203,Bo Zhang,Hindawi,1
A5100335210,Bo Zhang,Wolters Kluwer,1
A5100335228,Bo Zhang,Hindawi,2
A5100335238,Bo Zhang,Hindawi,1
A5100335238,Bo Zhang,Impact Journals,1
A5100335238,Bo Zhang,Taylor and Francis - Dove Press,1
A5100335238,Bo Zhang,Wiley,1
A5100335283,Bo Zhang,The Company of Biologists,1
A5100335295,Bo Zhang,Elsevier,1
A5100335295,Bo Zhang,Royal Society of Chemistry (RSC),1
A5100335304,Bo Zhang,Springer - Nature Publishing Group,1
A5100335328,Bo Zhang,Hindawi,1
A5100335328,Bo Zhang,"International Scientific Information, Inc",1
A5100335341,Bo Zhang,Hindawi,1
A5100335372,Bo Zhang,Korean Society of Neurogastroenterology and Motility,1
A5100335376,Bo Zhang,Elsevier - Cell Press,1
A5100335392,Bo Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100335403,Bo Zhang,American Chemical Society (ACS),1
A5100335407,Bo Zhang,Elsevier,1
A5100335760,Wei Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100335790,Li Wang,Wiley,1
A5100335817,Li Wang,Hindawi,2
A5100335860,Li Wang,Elsevier,2
A5100335860,Li Wang,Frontiers,1
A5100335860,Li Wang,Impact Journals,1
A5100335860,Li Wang,SAGE Publications,1
A5100335860,Li Wang,Spandidos,1
A5100335860,Li Wang,Springer,1
A5100335860,Li Wang,Taylor and Francis - Dove Press,1
A5100335860,Li Wang,Wiley,1
A5100335876,Li Wang,Endocrine Society,1
A5100335900,Li Wang,Hindawi,1
A5100335904,Li Wang,Hindawi,1
A5100335923,Li Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100335945,Li Wang,Hindawi,1
A5100335946,Li Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100335949,Li Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100335950,Li Wang,Springer - Biomed Central (BMC),1
A5100335950,Li Wang,Wiley,1
A5100335956,Li Wang,Springer,1
A5100335967,Li Wang,Taylor and Francis,1
A5100336023,Li Wang,Hindawi,1
A5100336028,Li Wang,Springer - Biomed Central (BMC),1
A5100336078,Li Wang,Hindawi,1
A5100336102,Li Wang,Spandidos,1
A5100336107,Li Wang,Hindawi,1
A5100336116,Li Wang,Cognizant Communication Corporation,1
A5100336122,Li Wang,Hindawi,3
A5100336122,Li Wang,Frontiers,1
A5100336124,Li Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100336161,Li Wang,Elsevier,1
A5100336161,Li Wang,Springer - Nature Publishing Group,1
A5100336161,Li Wang,Taylor and Francis,1
A5100336169,Li Wang,Hindawi,1
A5100336185,Lı Wang,Elsevier,1
A5100336197,Li Wang,Frontiers,1
A5100336213,Li Wang,Cellular Physiol Biochem Press,1
A5100336213,Li Wang,Elsevier,1
A5100336213,Li Wang,Springer,1
A5100336214,Li Wang,Springer,1
A5100336220,Li Wang,Taylor and Francis,1
A5100336237,Li Wang,Hindawi,1
A5100336281,Li Wang,Spandidos,2
A5100336284,Li Wang,Frontiers,1
A5100336284,Li Wang,Springer - Nature Publishing Group,1
A5100336752,Jing Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100336756,Jing Li,Wiley,1
A5100336761,Jing Li,Hindawi,1
A5100336765,Jing Li,Hindawi,1
A5100336796,Jing Li,Elsevier,2
A5100336796,Jing Li,Hindawi,2
A5100336796,Jing Li,Spandidos,1
A5100336796,Jing Li,Springer - Nature Publishing Group,1
A5100336800,Jing Li,Spandidos,1
A5100336803,Jing Li,Hindawi,1
A5100336803,Jing Li,Springer,1
A5100336825,Jing Li,Springer,1
A5100336827,Jing Li,Cellular Physiol Biochem Press,1
A5100336830,Jing Li,IOS Press (bought by Sage November 2023),1
A5100336858,Jing Li,Cellular Physiol Biochem Press,1
A5100336858,Jing Li,Portland Press,1
A5100336868,Jing Li,Elsevier,1
A5100336869,Jing Li,Wiley,1
A5100336895,Jing Li,Frontiers,1
A5100336899,Jing Li,Wolters Kluwer - Lippincott Williams & Wilkins,1
A5100336919,Jing Li,Hindawi,1
A5100336920,Jing Li,Wiley,1
A5100336923,Jing Li,Hindawi,1
A5100336923,Jing Li,Impact Journals,1
A5100336923,Jing Li,Taylor and Francis - Dove Press,1
A5100336928,Jing Li,Elsevier,1
A5100336938,Jing Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100336946,Jing Li,Elsevier,2
A5100336949,Jing Li,Springer,1
A5100336952,Jing Li,Hindawi,1
A5100336971,Jing Li,Springer,1
A5100336974,Jing Li,American Society for Microbiology,1
A5100336982,Jing Li,IOS Press (bought by Sage November 2023),1
A5100336992,Jing Li,Hindawi,1
A5100337007,Jing Li,Royal Society of Chemistry (RSC),1
A5100337026,Jing Li,IEEE: Institute of Electrical and Electronics Engineers,3
A5100337048,Jing Li,Springer,1
A5100337087,Jing Li,Wiley,1
A5100337091,Jing Li,Wiley,1
A5100337108,Jing Li,Spandidos,1
A5100337136,Jing Li,Hindawi,1
A5100337145,Jing Li,Springer,1
A5100337152,Jing Li,PLoS,1
A5100337152,Jing Li,Spandidos,1
A5100337852,Jing Li,Hindawi,1
A5100337858,Jing Li,Impact Journals,1
A5100337858,Jing Li,PLoS,1
A5100337861,Jing Li,Taylor and Francis - Dove Press,1
A5100338060,Tao Liu,Elsevier,3
A5100338061,Tao Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5100338067,Tao Liu,Elsevier,2
A5100338067,Tao Liu,Wiley,2
A5100338067,Tao Liu,Elsevier - Cell Press,1
A5100338067,Tao Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5100338067,Tao Liu,Royal Society of Chemistry (RSC),1
A5100338073,Tao Liu,Elsevier,1
A5100338083,Tao Liu,Association for Computing Machinery (ACM),1
A5100338083,Tao Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5100338087,Tao Liu,Elsevier,1
A5100338087,Tao Liu,Hindawi,1
A5100338087,Tao Liu,Wiley,1
A5100338122,Tao Liu,Taylor and Francis,1
A5100338131,Tao Liu,Elsevier,1
A5100338131,Tao Liu,IEEE: Institute of Electrical and Electronics Engineers,1
A5100338592,Ping Wang,APS: American Physiological Society,1
A5100338602,Ping Wang,Taylor and Francis,1
A5100338606,Ping Wang,Frontiers,3
A5100338606,Ping Wang,Oxford University Press,1
A5100338606,Ping Wang,Springer - Biomed Central (BMC),1
A5100338606,Ping Wang,Taylor and Francis,1
A5100338625,Ping Wang,Elsevier,1
A5100338625,Ping Wang,Hindawi,1
A5100338632,Ping Wang,American Association for Cancer Research,1
A5100338632,Ping Wang,American Physiological Society,1
A5100338632,Ping Wang,Elsevier,1
A5100338632,Ping Wang,Hindawi,1
A5100338632,Ping Wang,IOS Press (bought by Sage November 2023),1
A5100338632,Ping Wang,PLoS,1
A5100338635,Ping Wang,Hindawi,1
A5100338642,Ping Wang,Elsevier - Cell Press,1
A5100338651,Ping Wang,Taylor and Francis - Dove Press,1
A5100338672,Ping Wang,IOS Press (bought by Sage November 2023),1
A5100338694,Ping Wang,Hindawi,1
A5100338700,Ping Wang,Hindawi,1
A5100338703,Ping Wang,Hindawi,1
A5100338716,Ping Wang,Hindawi,1
A5100338726,Ping Wang,Elsevier,1
A5100338727,Ping Wang,Springer - Nature Publishing Group,1
A5100338841,Wei Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100339330,Hong Li,Royal Society of Chemistry (RSC),1
A5100339335,Hong Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100339335,Hong Li,SAGE Publications,1
A5100339335,Hong Li,Springer - Biomed Central (BMC),1
A5100339336,Hong Li,PLoS,1
A5100339336,Hong Li,Portland Press,1
A5100339336,Hong Li,Taylor and Francis - Dove Press,1
A5100339336,Hong Li,Wiley,1
A5100339352,Hong Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100339376,Hong Li,Springer,1
A5100339381,Hong Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100339401,Hong Li,Elsevier,1
A5100339418,Hong Li,IOS Press (bought by Sage November 2023),2
A5100339427,Hong Li,Wiley,1
A5100339428,Hong Li,Hindawi,1
A5100339451,Hong Li,Hindawi,1
A5100339879,Xin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100339882,Xin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100340344,Yan Li,Springer,1
A5100340344,Yan Li,Taylor and Francis - Dove Press,1
A5100340530,Qian Li,IEEE: Institute of Electrical and Electronics Engineers,2
A5100340538,Qian Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100340539,Qian Li,Portland Press,2
A5100340539,Qian Li,Elsevier,1
A5100340547,Qian Li,Wiley,1
A5100340563,Qian Li,American Chemical Society (ACS),1
A5100340563,Qian Li,Springer,1
A5100340564,Qian Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100340578,Qian Li,Springer - Biomed Central (BMC),1
A5100340580,Qian Li,PLoS,1
A5100340631,Qian Li,Elsevier,1
A5100340631,Qian Li,Elsevier - Cell Press,1
A5100340631,Qian Li,Impact Journals,1
A5100340644,Qian Li,Frontiers,1
A5100340644,Qian Li,Oxford University Press,1
A5100340663,Qian Li,Taylor and Francis,1
A5100340674,Qian Li,Elsevier,1
A5100340685,Qian Li,Frontiers,1
A5100340687,Qian Li,Springer,1
A5100340688,Qian Li,Spandidos,1
A5100340688,Qian Li,Springer - Biomed Central (BMC),1
A5100340851,Min Wang,Hindawi,1
A5100340886,Min Wang,Springer - Biomed Central (BMC),1
A5100340889,Min Wang,Association for Computing Machinery (ACM),1
A5100340891,Min Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100340897,Min Wang,Springer,1
A5100340903,Min Wang,Taylor and Francis - Dove Press,1
A5100340910,Min Wang,Hindawi,2
A5100340910,Min Wang,Taylor and Francis - Dove Press,2
A5100340910,Min Wang,American Association for Cancer Research,1
A5100340910,Min Wang,American Chemical Society (ACS),1
A5100340910,Min Wang,IOS Press (bought by Sage November 2023),1
A5100340910,Min Wang,Wiley,1
A5100340922,Min Wang,Hindawi,1
A5100340926,Min Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100340933,Min Wang,Elsevier,1
A5100340933,Min Wang,Royal Society of Chemistry (RSC),1
A5100340933,Min Wang,Springer,1
A5100340934,Min Wang,IOS Press (bought by Sage November 2023),2
A5100340936,Min Wang,IOS Press (bought by Sage November 2023),1
A5100340947,Min Wang,Wiley,1
A5100340952,Min Wang,Ivyspring International Publisher,1
A5100340959,Min Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100340968,Min Wang,Hindawi,1
A5100340999,Nan Li,Hindawi,1
A5100341013,Nan Li,American Society for Biochemistry and Molecular Biology (ASBMB),1
A5100341013,Nan Li,Oxford University Press,1
A5100341013,Nan Li,Springer,1
A5100341038,Nan Li,Elsevier,1
A5100341038,Nan Li,Taylor and Francis,1
A5100341041,Nan Li,Portland Press,1
A5100341056,Nan Li,Oxford University Press,1
A5100341065,Nan Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100341066,Nan Li,Hindawi,2
A5100341089,Nan Li,Hindawi,1
A5100341090,Nan Li,Springer,1
A5100341096,Nan Li,Elsevier,1
A5100341104,Nan Li,Hindawi,1
A5100341105,Nan Li,American Society for Biochemistry and Molecular Biology (ASBMB),4
A5100341105,Nan Li,Elsevier,4
A5100341111,Nan Li,Portland Press,1
A5100341123,Nan Li,Springer,1
A5100341125,Nan Li,Elsevier,1
A5100341206,Qi Wang,IOP Publishing,1
A5100341210,Qi Wang,Elsevier,1
A5100341210,Qi Wang,Frontiers,1
A5100341232,Qi Wang,Springer,1
A5100341235,Qi Wang,Spandidos,1
A5100341235,Qi Wang,Springer,1
A5100341267,Qi Wang,Springer,1
A5100341269,Qi Wang,IEEE: Institute of Electrical and Electronics Engineers,3
A5100341269,Qi Wang,Elsevier,1
A5100341289,Qi Wang,Hindawi,1
A5100341289,Qi Wang,Spandidos,1
A5100341303,Qi Wang,Frontiers,1
A5100341304,Qi Wang,Royal Society of Chemistry (RSC),1
A5100341321,Qi Wang,IEEE: Institute of Electrical and Electronics Engineers,2
A5100341321,Qi Wang,Hindawi,1
A5100341330,Qi Wang,Springer - Nature Publishing Group,1
A5100341332,Qi Wang,Springer,1
A5100341353,Qi Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100341365,Qi Wang,Elsevier - Cell Press,1
A5100341376,Qi Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100341378,Qi Wang,Springer,1
A5100341388,Qi Wang,Bentham Open,1
A5100341388,Qi Wang,Royal Society of Chemistry (RSC),1
A5100341830,Lei Li,Springer,1
A5100342557,Yán Li,Wiley,1
A5100342637,Wei Li,BioMed Central (BMC),1
A5100342656,Qian Zhang,Springer,1
A5100342662,Qian Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5100343143,Xin Li,IEEE: Institute of Electrical and Electronics Engineers,1
A5100343147,Xin Li,Wiley,1
A5100343687,Bo Li,Elsevier,1
A5100343694,Bo Li,American Heart Association,1
A5100343694,Bo Li,Hindawi,1
A5100344298,Wei Chen,Hindawi,3
A5100344298,Wei Chen,Wiley,1
A5100344320,Wei Chen,Springer,1
A5100344331,Wei Chen,Hindawi,1
A5100344375,Wei Chen,Taylor and Francis,1
A5100344375,Wei Chen,Taylor and Francis - Dove Press,1
A5100344375,Wei Chen,Wiley,1
A5100344377,Wei Chen,American Society for Microbiology,1
A5100344384,Wei Chen,Hindawi,1
A5100344395,Wei Chen,Elsevier,2
A5100344395,Wei Chen,Hindawi,1
A5100344395,Wei Chen,Taylor and Francis - Dove Press,1
A5100344403,Wei Chen,Spandidos,1
A5100344403,Wei Chen,Springer - Nature Publishing Group,1
A5100344407,Wei Chen,Portland Press,1
A5100344420,Wei Chen,Spandidos,1
A5100344458,Wei Chen,Hindawi,2
A5100344463,Wei Chen,Hindawi,1
A5100344481,Wei Chen,Hindawi,5
A5100344489,Wei Chen,Springer,1
A5100344492,Wei Chen,Elsevier,1
A5100344503,Wei Chen,BMJ Publishing,1
A5100344518,Wei Chen,Bentham Open,1
A5100344522,Wei Chen,IOS Press (bought by Sage November 2023),1
A5100344522,Wei Chen,Springer - Nature Publishing Group,1
A5100344533,Wei Chen,PLoS,1
A5100344533,Wei Chen,Taylor and Francis - Dove Press,1
A5100344564,Wei Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100344582,Wei Chen,IEEE: Institute of Electrical and Electronics Engineers,1
A5100344582,Wei Chen,Springer - Nature Publishing Group,1
A5100345314,Jing Zhang,Springer,1
A5100345321,Jing Zhang,Hindawi,2
A5100345328,Jing Zhang,Hindawi,1
A5100345350,Jing Zhang,Elsevier,1
A5100345350,Jing Zhang,Impact Journals,1
A5100345350,Jing Zhang,Spandidos,1
A5100345350,Jing Zhang,Springer - Biomed Central (BMC),1
A5100345373,Jing Zhang,Frontiers,1
A5100345373,Jing Zhang,Wiley,1
A5100345393,Jing Zhang,American Chemical Society (ACS),1
