openalex_author_id,author,publisher,unique_retracted_papers
A5009985129,Hironobu Ueshima,Elsevier,108
A5009985129,Hironobu Ueshima,BMJ Publishing,3
A5009985129,Hironobu Ueshima,Scientific Research Publishing (SCIRP),3
A5009985129,Hironobu Ueshima,Wolters Kluwer - Lippincott Williams & Wilkins,3
A5009985129,Hironobu Ueshima,Springer,2
A5009985129,Hironobu Ueshima,Hindawi,1
A5009985129,Hironobu Ueshima,Wolters Kluwer,1
A5010246094,Jun Zhang,Hindawi,1
A5010249218,Jie Zhang,Frontiers,1
A5010249218,Jie Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5010249218,Jie Zhang,"International Scientific Information, Inc",1
A5010249218,Jie Zhang,Japan Atherosclerosis Society,1
A5010261091,Lin Wang,Hindawi,1
A5010827491,Min Zhang,Hindawi,1
A5010846614,Jun Li,Hindawi,1
A5010940242,Yang Wang,Hindawi,1
A5010949036,Rui Wang,Taylor and Francis,1
A5010958243,Ying Wang,Hindawi,1
A5010978341,Yi Wang,Hindawi,1
A5010993715,Yu Zhang,Springer,1
A5011049502,Jing Zhao,Taylor and Francis,1
A5011210400,Min Zhang,Hindawi,1
A5011210400,Min Zhang,PLoS,1
A5011258836,Feng Wang,Hindawi,1
A5011347232,Ying Zhang,Hindawi,1
A5011359621,Ying Zhang,Hindawi,1
A5011410001,Feng Li,Hindawi,2
A5011429168,Ying Zhang,Hindawi,1
A5011550595,Hong Li,Hindawi,1
A5011701654,Wei Zhang,Hindawi,1
A5011749539,Xin Li,Hindawi,1
A5011751975,Yong Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5011792338,Ying Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5011863186,Li Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5011885525,Hui Zhang,Hindawi,1
A5011888863,Jie Wang,IOS Press (bought by Sage November 2023),1
A5011912885,Wei Wang,Hindawi,1
A5012050321,Yu Liu,Hindawi,1
A5012063033,Hui Liu,Hindawi,2
A5012124607,Qiang Li,Hindawi,1
A5012249136,Yi Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5012340726,Wei Liu,Hindawi,1
A5012387700,Jun Wang,Springer - Nature Publishing Group,1
A5012413755,Jun Li,Hindawi,1
A5012506063,Yasunori Sato,BMJ Publishing,1
A5012585311,Jian Xu,Bentham Open,1
A5012858773,Yan Li,MDPI,1
A5012870940,Jing Li,Elsevier,1
A5012877783,Yang Yang,Hindawi,1
A5012882774,Ping Wang,PLoS,1
A5012938528,Lei Li,Hindawi,1
A5013041751,Jian Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
A5013165064,Ming Li,Hindawi,1
A5013190448,Feng Li,Hindawi,1
A5013241415,Wei Wang,Springer - Biomed Central (BMC),1
A5013416069,Qi Wang,Hindawi,1
A5013416069,Qi Wang,IEEE: Institute of Electrical and Electronics Engineers,1
A5013467294,Xin Zhang,Hindawi,1
A5013494150,Hui Li,Hindawi,1
A5013585741,Jing Chen,Hindawi,1
A5013619990,Bo Wang,Association for Computing Machinery (ACM),1
A5013634562,Xi Chen,Hindawi,1
A5013637763,Bo Li,Hindawi,1
A5013663299,Juan Li,Hindawi,1
A5013911877,Gang Wang,Springer - Nature Publishing Group,1
A5013925708,Lin Zhang,IEEE: Institute of Electrical and Electronics Engineers,1
