doi,retraction_year,publication_year
10.1016/s0167-7152(01)00182-1,2001,2001
10.1016/s0370-2693(01)00865-6,2001,2001
10.1038/387358a0,2001,1997
10.1038/83401,2001,2001
10.1073/pnas.96.20.11566,2001,1999
10.1073/pnas.97.1.297,2001,2000
10.1074/jbc.274.11.7196,2001,1999
10.3758/bf03210834,2001,1999
10.1006/aphy.2002.6289,2002,2002
10.1007/bf02487706,2002,1997
10.1007/s00125-002-0791-z,2002,2002
10.1007/s002210100827,2002,2001
10.1016/s0024-3205(00)00473-2,2002,2000
10.1016/s0092-8674(00)80887-9,2002,2000
10.1016/s0300-483x(02)00028-8,2002,2002
10.1016/s0925-4773(02)00288-5,2002,2002
10.1016/s0925-4773(02)00290-3,2002,2002
10.1016/s0925-4773(02)00294-0,2002,2002
10.1016/s0925-4773(02)00297-6,2002,2002
10.1016/s0925-4773(02)00299-x,2002,2002
10.1016/s0925-4773(02)00300-3,2002,2002
10.1016/s0925-4773(02)00340-4,2002,2002
10.1016/s0925-4773(02)00360-x,2002,2002
10.1016/s0925-4773(02)00383-0,2002,2002
10.1016/s0925-4773(02)00384-2,2002,2002
10.1016/s0925-4773(02)00387-8,2002,2002
10.1016/s0925-4773(02)00422-7,2002,2002
10.1016/s1051-0443(07)61600-5,2002,2001
10.1016/s1053-8119(01)92537-6,2002,2001
10.1016/s1053-8119(01)92538-8,2002,2001
10.1016/s1567-133x(02)00054-6,2002,2002
10.1016/s1567-133x(02)00056-x,2002,2002
10.1016/s1567-133x(02)00058-3,2002,2002
10.1016/s1567-133x(02)00061-3,2002,2002
10.1038/35001001,2002,2000
10.1055/s-2001-17398,2002,2001
10.1074/jbc.m103321200,2002,2001
10.1103/physrevb.61.10803,2002,2000
10.1103/physrevb.64.035209,2002,2001
10.1111/1467-9280.00298,2002,2000
10.1111/j.1349-7006.2001.tb01122.x,2002,2001
10.1126/science.1058812,2002,2001
10.1126/science.288.5475.2338,2002,2000
10.1126/science.290.5493.963,2002,2000
10.1161/01.hyp.35.1.209,2002,2000
10.1002/1521-4095(200108)13:16%3c1273::aid-adma1273%3e3.0.co;2-p,2003,2001
10.1007/bf03033731,2003,2003
10.1016/j.physletb.2003.07.068,2003,2003
10.1016/s0020-7683(02)00582-6,2003,2003
10.1016/s0166-6851(02)00303-1,2003,2003
10.1016/s0188-4409(02)00468-x,2003,2003
10.1016/s0921-8777(98)00007-x,2003,1998
10.1016/s0966-6362(00)00069-2,2003,2000
10.1038/35021011,2003,2000
10.1038/35046008,2003,2000
10.1038/35046611,2003,2000
10.1038/35065565,2003,2001
10.1038/35099520,2003,2001
10.1038/sj.bjp.0704814,2003,2002
10.1046/j.1528-1157.2003.05203.x,2003,2003
10.1056/nejmoa012710,2003,2002
10.1063/1.1408277,2003,2001
10.1063/1.1426684,2003,2001
10.1103/physreve.61.880,2003,2000
10.1109/icct.2003.1209069,2003,2003
10.1110/ps.0219602,2003,2002
10.1126/science.1064204,2003,2001
10.1126/science.1074501,2003,2002
10.1128/iai.70.3.1279-1286.2002,2003,2002
10.1128/jb.183.6.1983-1989.2001,2003,2001
10.1143/jpsj.72.1,2003,2003
10.3390/60800647,2003,2001
10.1002/1521-396x(200207)192:1%3c212::aid-pssa212%3e3.0.co;2-b,2004,2002
10.1002/ajhb.10233,2004,2003
10.1002/cplx.10000,2004,2001
10.1002/glia.10344,2004,2004
10.1002/jclp.1086,2004,2001
10.1002/pssa.200306153,2004,2003
10.1016/j.apsusc.2004.07.048,2004,2004
10.1016/j.ijom.2003.09.015,2004,2004
10.1016/j.jmva.2004.10.006,2004,2004
10.1016/j.virusres.2004.03.003,2004,2004
10.1016/s0010-7824(98)00120-6,2004,1998
10.1016/s0010-7824(98)00122-x,2004,1998
10.1016/s0010-7824(98)00123-1,2004,1998
10.1016/s0013-9351(02)00084-1,2004,2003
10.1016/s0014-2999(02)02420-2,2004,2002
10.1016/s0022-4804(03)00285-3,2004,2004
10.1016/s0092-8674(02)01037-1,2004,2002
10.1016/s0092-8674(03)00350-7,2004,2003
10.1016/s0140-1963(03)00003-x,2004,2003
10.1016/s0168-1699(02)00103-5,2004,2002
10.1038/25943,2004,1998
10.1042/cs20030087,2004,2003
10.1046/j.1440-1681.2002.03780.x,2004,2002
10.1073/pnas.0402344101,2004,2004
10.1073/pnas.2637011100,2004,2004
10.1074/jbc.m005563200,2004,2000
10.1074/jbc.m106610200,2004,2001
10.1080/10575630108041293,2004,2001
10.1086/383468,2004,2004
10.1109/isscc.2004.1332736,2004,2004
10.1126/science.1082690,2004,2003
10.1126/science.1096750,2004,2004
10.1128/jb.186.7.2061-2067.2004,2004,2004
10.1136/gut.52.3.363,2004,2003
10.1161/01.res.77.1.121,2004,1995
10.2178/jsl/1190150141publi,2004,2002
10.2223/jped.1194,2004,2004
10.1002/jsfa.2367,2005,2005
10.1002/mana.200310289,2005,2005
10.1002/sia.2079,2005,2005
10.1006/bbrc.1999.1622,2005,1999
10.1007/s00605-003-0035-4,2005,2003
10.1016/j.ajog.2003.09.070,2005,2004
10.1016/j.cam.2004.03.015,2005,2004
10.1016/j.fertnstert.2005.06.036,2005,2005
10.1016/j.jsc.2003.06.002,2005,2003
