openalex_author_id,author,paper_key,doi,source_author_names,publication_year,retraction_year,retraction_lag_years,match_type
A5003724781,Yang Yang,doi:10.1016/j.tsc.2021.100930,10.1016/j.tsc.2021.100930,Yang Yang,2021,2022,1,Exact
A5003757195,Wei Zhao,doi:10.1007/s00432-019-03003-0,10.1007/s00432-019-03003-0,Wei Zhao,2019,2024,5,Exact
A5003813737,Rui Zhang,doi:10.1371/journal.pone.0263755,10.1371/journal.pone.0263755,Rui Zhang,2022,2024,2,Exact
A5003815460,Ying Zhang,doi:10.1155/2022/3676444,10.1155/2022/3676444,Ying Zhang,2022,2023,1,Exact
A5003837307,Hui Wang,doi:10.1155/2022/3300449,10.1155/2022/3300449,Hui Wang,2022,2023,1,Exact
A5003871909,Yan Zhang,doi:10.1155/2022/8517802,10.1155/2022/8517802,Yan Zhang,2022,2023,1,Exact
A5004063425,Y. Wang,doi:10.1124/jpet.111.190918,10.1124/jpet.111.190918,Yu Wang,2012,2012,0,Initial
A5004137391,Li Li,doi:10.1155/2022/8963756,10.1155/2022/8963756,Li Li,2022,2023,1,Exact
A5004150912,Jun Yang,doi:10.1109/icbbe.2011.5781440,10.1109/icbbe.2011.5781440,Jun Yang,2011,2011,0,Exact
A5004255007,Na Li,doi:10.1155/2022/3034928,10.1155/2022/3034928,Na Li,2022,2023,1,Exact
A5004255007,Na Li,doi:10.1155/2022/8793521,10.1155/2022/8793521,Na Li,2022,2023,1,Exact
A5004389567,Yang Wang,doi:10.3892/ijmm.2017.3166,10.3892/ijmm.2017.3166,Yang Wang,2017,2018,1,Exact
A5004389567,Yang Wang,doi:10.1042/bsr20160532,10.1042/bsr20160532,Yang Wang,2017,2021,4,Exact
A5004486459,Hui Li,doi:10.2147/ott.s233256,10.2147/ott.s233256,Hui Li,2020,2021,1,Exact
A5004486459,Hui Li,doi:10.1016/j.anl.2021.04.013,10.1016/j.anl.2021.04.013,Hui Li,2021,2024,3,Exact
A5004486459,Hui Li,doi:10.1016/j.lfs.2020.117425,10.1016/j.lfs.2020.117425,Hui Li,2020,2024,4,Exact
A5004578755,Jun Liu,doi:10.1155/2022/4378173,10.1155/2022/4378173,Jun Liu,2022,2023,1,Exact
A5004844933,Lei Li,doi:10.1155/2022/2498435,10.1155/2022/2498435,Lei Li,2022,2023,1,Exact
A5005049433,Hui Wang,doi:10.1109/icmss.2009.5302672,10.1109/icmss.2009.5302672,Hui Wang,2009,2009,0,Exact
A5005075928,Jing Zhang,doi:10.1155/2022/2175020,10.1155/2022/2175020,Jing Zhang,2022,2023,1,Exact
A5005112871,Jing Yang,doi:10.1371/journal.pone.0102522,10.1371/journal.pone.0102522,Jing Yang,2014,2019,5,Exact
A5005208943,Ping Wang,doi:10.1109/icebeg.2011.5881804,10.1109/icebeg.2011.5881804,Ping Wang,2011,2011,0,Exact
A5005433863,Lin Wang,doi:10.1155/2022/8209861,10.1155/2022/8209861,Lin Wang,2022,2023,1,Exact
A5005528787,Jing Li,doi:10.1109/etcs.2010.251,10.1109/etcs.2010.251,Jing Li,2010,2010,0,Exact
A5005691416,Dan Wang,doi:10.1155/2022/4055128,10.1155/2022/4055128,Dan Wang,2022,2023,1,Exact
A5005746172,Hao Wang,doi:10.1155/2022/9721702,10.1155/2022/9721702,Hao Wang,2022,2023,1,Exact
A5005804072,Jun Zhang,doi:10.1155/2021/5545956,10.1155/2021/5545956,Jun Zhang,2021,2023,2,Exact
A5005804072,Jun Zhang,doi:10.1155/2021/9947811,10.1155/2021/9947811,Jun Zhang,2021,2023,2,Exact
A5005876103,Wei Liu,doi:10.1155/2022/5207003,10.1155/2022/5207003,Wei Liu,2022,2023,1,Exact
A5005908337,Yan Chen,doi:10.1155/2022/8786035,10.1155/2022/8786035,Yan Chen,2022,2023,1,Exact
A5005934609,Yang Zhang,doi:10.1155/2022/2794225,10.1155/2022/2794225,Yang Zhang,2022,2023,1,Exact
A5005983977,Hong Zhang,doi:10.1109/ssme.2009.141,10.1109/ssme.2009.141,Hong Zhang,2009,2009,0,Exact
A5005983977,Hong Zhang,doi:10.1109/icnc.2010.5582956,10.1109/icnc.2010.5582956,Hong Zhang,2010,2010,0,Exact
A5006042664,Dan Liu,doi:10.1155/2022/8569381,10.1155/2022/8569381,Dan Liu,2022,2023,1,Exact
A5006059676,Tao Liu,doi:10.1016/j.biortech.2020.123584,10.1016/j.biortech.2020.123584,Tao Liu,2020,2024,4,Exact
A5006134468,Liang Wang,doi:10.1109/esiat.2010.5567297,10.1109/esiat.2010.5567297,Liang Wang,2010,2010,0,Exact
A5006134468,Liang Wang,doi:10.1109/esiat.2010.5568285,10.1109/esiat.2010.5568285,Liang Wang,2010,2010,0,Exact
A5006134468,Liang Wang,doi:10.1109/esiat.2010.5568736,10.1109/esiat.2010.5568736,Liang Wang,2010,2010,0,Exact
A5006134468,Liang Wang,doi:10.1109/paccs.2011.5990091,10.1109/paccs.2011.5990091,Liang Wang,2011,2011,0,Exact
