openalex_author_id,author,reason,unique_retracted_papers
A5002125442,Tao Wang,Concerns/Issues about Peer Review,1
A5002125442,Tao Wang,Concerns/Issues about Referencing/Attributions,1
A5002125442,Tao Wang,Concerns/Issues about Results and/or Conclusions,1
A5002125442,Tao Wang,Unreliable Results and/or Conclusions,1
A5002187164,Chandra Gopala Rao,Copyright Claims,3
A5002244487,Lei Liu,Concerns/Issues about Data,1
A5002244487,Lei Liu,Concerns/Issues about Human Subject Welfare,1
A5002244487,Lei Liu,Concerns/Issues about Peer Review,1
A5002244487,Lei Liu,Concerns/Issues about Referencing/Attributions,1
A5002244487,Lei Liu,Lack of IRB/IACUC Approval and/or Compliance,1
A5002244487,Lei Liu,Unreliable Results and/or Conclusions,1
A5002285108,Jing Zhang,Compromised Peer Review,1
A5002285108,Jing Zhang,Concerns/Issues about Article,1
A5002285108,Jing Zhang,Duplication of Text,1
A5002285108,Jing Zhang,Objections by Author(s),1
A5002442875,J Zhang,Compromised Peer Review,1
A5002453567,Yang Liu,Concerns/Issues about Data,1
A5002453567,Yang Liu,Paper Mill,1
A5002453567,Yang Liu,Unreliable Results and/or Conclusions,1
A5002498810,Yu Liu,Notice - Limited or No Information,3
A5002622778,Li Hong,Concerns/Issues about Peer Review,1
A5002622778,Li Hong,Objections by Author(s),1
A5002637149,Jing Wang,Computer-Aided Content or Computer-Generated Content,1
A5002637149,Jing Wang,Concerns/Issues about Data,1
A5002637149,Jing Wang,Concerns/Issues about Peer Review,1
A5002637149,Jing Wang,Concerns/Issues about Referencing/Attributions,1
A5002637149,Jing Wang,Concerns/Issues about Results and/or Conclusions,1
A5002637149,Jing Wang,Paper Mill,1
A5002637149,Jing Wang,Unreliable Results and/or Conclusions,1
A5002750918,Jun Li,Computer-Aided Content or Computer-Generated Content,1
A5002750918,Jun Li,Concerns/Issues about Data,1
A5002750918,Jun Li,Concerns/Issues about Peer Review,1
A5002750918,Jun Li,Concerns/Issues about Referencing/Attributions,1
A5002750918,Jun Li,Concerns/Issues about Results and/or Conclusions,1
A5002750918,Jun Li,Paper Mill,1
A5002750918,Jun Li,Unreliable Results and/or Conclusions,1
A5002814280,Tao Liu,Unreliable Results and/or Conclusions,2
A5002814280,Tao Liu,Author Unresponsive,1
A5002814280,Tao Liu,Duplication of/in Image,1
A5002814280,Tao Liu,Error in Analyses,1
A5002814280,Tao Liu,Error in Data,1
A5002814280,Tao Liu,Paper Mill,1
A5002847404,Jian Wang,Author Unresponsive,1
A5002847404,Jian Wang,Concerns/Issues about Data,1
A5002847404,Jian Wang,Date of Article and/or Notice Unknown,1
A5002847404,Jian Wang,Error in Methods,1
A5002847404,Jian Wang,Error in Text,1
A5002847404,Jian Wang,Objections by Third Party,1
A5002847404,Jian Wang,Original Data and/or Images not Provided and/or not Available,1
A5002959160,Yong Wang,Concerns/Issues about Data,1
A5002959160,Yong Wang,Concerns/Issues about Peer Review,1
A5002959160,Yong Wang,Concerns/Issues about Referencing/Attributions,1
A5002959160,Yong Wang,Unreliable Results and/or Conclusions,1
A5003031088,Jie Wang,Compromised Peer Review,1
A5003031088,Jie Wang,Concerns/Issues about Peer Review,1
A5003031088,Jie Wang,Unreliable Results and/or Conclusions,1
A5003154300,Jun Zhang,Concerns/Issues about Data,1
A5003154300,Jun Zhang,Concerns/Issues about Human Subject Welfare,1
A5003154300,Jun Zhang,Concerns/Issues about Peer Review,1
A5003154300,Jun Zhang,Concerns/Issues about Referencing/Attributions,1
A5003154300,Jun Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5003154300,Jun Zhang,Unreliable Results and/or Conclusions,1
A5003277541,Jian Li,Computer-Aided Content or Computer-Generated Content,1
A5003277541,Jian Li,Concerns/Issues about Data,1
A5003277541,Jian Li,Concerns/Issues about Peer Review,1
A5003277541,Jian Li,Concerns/Issues about Referencing/Attributions,1
A5003277541,Jian Li,Concerns/Issues about Results and/or Conclusions,1
A5003277541,Jian Li,Unreliable Results and/or Conclusions,1
A5003334032,Bo Wang,Concerns/Issues about Authorship/Affiliation,1
A5003334032,Bo Wang,Duplication of Data,1
A5003334032,Bo Wang,Ethical Violations by Author,1
A5003334032,Bo Wang,Euphemisms for Misconduct,1
A5003334032,Bo Wang,Plagiarism of Data,1
A5003408565,Lin Zhang,Breach of Policy by Author,1
A5003408565,Lin Zhang,Date of Article and/or Notice Unknown,1
A5003408565,Lin Zhang,Notice - Limited or No Information,1
A5003674725,Ying Li Wang,Error by Journal/Publisher,1
A5003724781,Yang Yang,Compromised Peer Review,1
A5003757195,Wei Zhao,Concerns/Issues about Data,1
A5003757195,Wei Zhao,Duplication of/in Image,1
A5003757195,Wei Zhao,Euphemisms for Duplication,1
A5003757195,Wei Zhao,Unreliable Data,1
A5003757195,Wei Zhao,Unreliable Results and/or Conclusions,1
A5003813737,Rui Zhang,Author Unresponsive,1
A5003813737,Rui Zhang,Compromised Peer Review,1
A5003813737,Rui Zhang,Concerns/Issues about Article,1
A5003813737,Rui Zhang,Concerns/Issues about Peer Review,1
A5003813737,Rui Zhang,Duplication of/in Article,1
A5003813737,Rui Zhang,Euphemisms for Duplication,1
A5003813737,Rui Zhang,Unreliable Results and/or Conclusions,1
A5003815460,Ying Zhang,Computer-Aided Content or Computer-Generated Content,1
A5003815460,Ying Zhang,Concerns/Issues about Data,1
A5003815460,Ying Zhang,Concerns/Issues about Peer Review,1
A5003815460,Ying Zhang,Concerns/Issues about Referencing/Attributions,1
A5003815460,Ying Zhang,Concerns/Issues about Results and/or Conclusions,1
A5003815460,Ying Zhang,Unreliable Results and/or Conclusions,1
A5003837307,Hui Wang,Concerns/Issues about Data,1
A5003837307,Hui Wang,Concerns/Issues about Peer Review,1
A5003837307,Hui Wang,Concerns/Issues about Referencing/Attributions,1
A5003837307,Hui Wang,Concerns/Issues about Results and/or Conclusions,1
A5003837307,Hui Wang,Unreliable Results and/or Conclusions,1
A5003871909,Yan Zhang,Concerns/Issues about Data,1
A5003871909,Yan Zhang,Concerns/Issues about Human Subject Welfare,1
A5003871909,Yan Zhang,Concerns/Issues about Peer Review,1
A5003871909,Yan Zhang,Concerns/Issues about Referencing/Attributions,1
A5003871909,Yan Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5003871909,Yan Zhang,Unreliable Results and/or Conclusions,1
A5004063425,Y. Wang,Breach of Policy by Author,1
A5004063425,Y. Wang,Concerns/Issues about Data,1
A5004063425,Y. Wang,Lack of Approval from Company/Institution,1
A5004137391,Li Li,Computer-Aided Content or Computer-Generated Content,1
A5004137391,Li Li,Concerns/Issues about Data,1
A5004137391,Li Li,Concerns/Issues about Peer Review,1
A5004137391,Li Li,Concerns/Issues about Referencing/Attributions,1
A5004137391,Li Li,Concerns/Issues about Results and/or Conclusions,1
A5004137391,Li Li,Paper Mill,1
A5004137391,Li Li,Unreliable Results and/or Conclusions,1
A5004150912,Jun Yang,Notice - Limited or No Information,1
A5004255007,Na Li,Paper Mill,2
A5004255007,Na Li,Unreliable Results and/or Conclusions,2
A5004255007,Na Li,Compromised Peer Review,1
A5004255007,Na Li,Computer-Aided Content or Computer-Generated Content,1
A5004255007,Na Li,Concerns/Issues about Data,1
A5004255007,Na Li,Concerns/Issues about Peer Review,1
A5004255007,Na Li,Concerns/Issues about Referencing/Attributions,1
A5004255007,Na Li,Concerns/Issues about Results and/or Conclusions,1
A5004389567,Yang Wang,Concerns/Issues about Image,1
A5004389567,Yang Wang,Manipulation of Images,1
A5004389567,Yang Wang,Paper Mill,1
A5004389567,Yang Wang,Plagiarism of Image,1
A5004389567,Yang Wang,Upgrade/Update of Prior Notice(s),1
A5004486459,Hui Li,Duplication of/in Image,2
A5004486459,Hui Li,Paper Mill,2
A5004486459,Hui Li,Author Unresponsive,1
A5004486459,Hui Li,Concerns/Issues about Image,1
A5004486459,Hui Li,Duplication of/in Article,1
A5004486459,Hui Li,Euphemisms for Duplication,1
A5004486459,Hui Li,Unreliable Results and/or Conclusions,1
A5004578755,Jun Liu,Computer-Aided Content or Computer-Generated Content,1
A5004578755,Jun Liu,Concerns/Issues about Data,1
A5004578755,Jun Liu,Concerns/Issues about Peer Review,1
A5004578755,Jun Liu,Concerns/Issues about Referencing/Attributions,1
A5004578755,Jun Liu,Concerns/Issues about Results and/or Conclusions,1
A5004578755,Jun Liu,Informed/Patient Consent - None/Withdrawn,1
A5004578755,Jun Liu,Lack of IRB/IACUC Approval and/or Compliance,1
A5004578755,Jun Liu,Unreliable Results and/or Conclusions,1
A5004844933,Lei Li,Compromised Peer Review,1
A5004844933,Lei Li,Paper Mill,1
A5004844933,Lei Li,Unreliable Results and/or Conclusions,1
