openalex_author_id,author,reason,unique_retracted_papers
A5026349477,Yan Zhang,Paper Mill,1
A5026349477,Yan Zhang,Unreliable Results and/or Conclusions,1
A5026775636,Liu Wei,Computer-Aided Content or Computer-Generated Content,1
A5026775636,Liu Wei,Concerns/Issues about Data,1
A5026775636,Liu Wei,Concerns/Issues about Peer Review,1
A5026775636,Liu Wei,Concerns/Issues about Referencing/Attributions,1
A5026775636,Liu Wei,Concerns/Issues about Results and/or Conclusions,1
A5026775636,Liu Wei,Informed/Patient Consent - None/Withdrawn,1
A5026775636,Liu Wei,Lack of IRB/IACUC Approval and/or Compliance,1
A5026775636,Liu Wei,Paper Mill,1
A5026775636,Liu Wei,Unreliable Results and/or Conclusions,1
A5026818586,Wei Chen,Concerns/Issues about Image,1
A5026818586,Wei Chen,Euphemisms for Plagiarism,1
A5026818586,Wei Chen,Plagiarism of Image,1
A5026818586,Wei Chen,Unreliable Results and/or Conclusions,1
A5026873018,Ying Zhang,Computer-Aided Content or Computer-Generated Content,1
A5026873018,Ying Zhang,Concerns/Issues about Data,1
A5026873018,Ying Zhang,Concerns/Issues about Peer Review,1
A5026873018,Ying Zhang,Concerns/Issues about Referencing/Attributions,1
A5026873018,Ying Zhang,Concerns/Issues about Results and/or Conclusions,1
A5026873018,Ying Zhang,Unreliable Results and/or Conclusions,1
A5026909961,Jing Chen,Concerns/Issues about Data,1
A5026909961,Jing Chen,Concerns/Issues about Image,1
A5026909961,Jing Chen,Euphemisms for Plagiarism,1
A5026909961,Jing Chen,Plagiarism of Data,1
A5026909961,Jing Chen,Plagiarism of Image,1
A5026956824,Hong Li,Compromised Peer Review,1
A5026956824,Hong Li,Concerns/Issues about Data,1
A5026956824,Hong Li,Concerns/Issues about Referencing/Attributions,1
A5026956824,Hong Li,Objections by Author(s),1
A5026956824,Hong Li,Rogue Editor,1
A5026956824,Hong Li,Unreliable Results and/or Conclusions,1
A5026976348,Wei Li,Unreliable Results and/or Conclusions,2
A5026976348,Wei Li,Compromised Peer Review,1
A5026976348,Wei Li,Concerns/Issues about Data,1
A5026976348,Wei Li,Concerns/Issues about Peer Review,1
A5026976348,Wei Li,Concerns/Issues about Referencing/Attributions,1
A5026976348,Wei Li,Paper Mill,1
A5026980795,Min Wang,Compromised Peer Review,1
A5027012549,Xin Wang,Computer-Aided Content or Computer-Generated Content,1
A5027012549,Xin Wang,Concerns/Issues about Data,1
A5027012549,Xin Wang,Concerns/Issues about Peer Review,1
A5027012549,Xin Wang,Concerns/Issues about Referencing/Attributions,1
A5027012549,Xin Wang,Concerns/Issues about Results and/or Conclusions,1
A5027012549,Xin Wang,Paper Mill,1
A5027012549,Xin Wang,Unreliable Results and/or Conclusions,1
A5027023668,Ping Zhang,Computer-Aided Content or Computer-Generated Content,1
A5027023668,Ping Zhang,Concerns/Issues about Data,1
A5027023668,Ping Zhang,Concerns/Issues about Peer Review,1
A5027023668,Ping Zhang,Concerns/Issues about Referencing/Attributions,1
A5027023668,Ping Zhang,Concerns/Issues about Results and/or Conclusions,1
A5027023668,Ping Zhang,Paper Mill,1
A5027023668,Ping Zhang,Unreliable Results and/or Conclusions,1
A5027036101,Joachim Boldt,Investigation by Company/Institution,192
A5027036101,Joachim Boldt,Misconduct by Author,135
A5027036101,Joachim Boldt,Misconduct - Official Investigation(s) and/or Finding(s),127
A5027036101,Joachim Boldt,Lack of IRB/IACUC Approval and/or Compliance,82
A5027036101,Joachim Boldt,Concerns/Issues about Data,65
A5027036101,Joachim Boldt,Ethical Violations by Author,64
A5027036101,Joachim Boldt,Unreliable Results and/or Conclusions,32
A5027036101,Joachim Boldt,Date of Article and/or Notice Unknown,29
A5027036101,Joachim Boldt,Complaints about Author,26
A5027036101,Joachim Boldt,Falsification/Fabrication of Data,22
A5027036101,Joachim Boldt,Author Unresponsive,20
A5027036101,Joachim Boldt,Unreliable Data,20
A5027036101,Joachim Boldt,Cites Retracted Work,18
A5027036101,Joachim Boldt,Concerns/Issues about Results and/or Conclusions,7
A5027036101,Joachim Boldt,Upgrade/Update of Prior Notice(s),6
A5027036101,Joachim Boldt,Manipulation of Results,5
A5027036101,Joachim Boldt,Original Data and/or Images not Provided and/or not Available,4
A5027036101,Joachim Boldt,Breach of Policy by Author,2
A5027036101,Joachim Boldt,Concerns/Issues about Article,2
A5027036101,Joachim Boldt,Lack of Approval from Company/Institution,2
A5027036101,Joachim Boldt,Plagiarism of/in Article,2
A5027036101,Joachim Boldt,Doing the Right Thing,1
A5027036101,Joachim Boldt,Duplication of Data,1
A5027036101,Joachim Boldt,Duplication of/in Article,1
A5027036101,Joachim Boldt,False/Forged Authorship,1
A5027036101,Joachim Boldt,Lack of Approval from Author,1
A5027036101,Joachim Boldt,Lack of Approval from Third Party,1
A5027036101,Joachim Boldt,Misconduct by Company/Institution,1
A5027036101,Joachim Boldt,Misconduct by Third Party,1
A5027036101,Joachim Boldt,Removed,1
A5027036101,Joachim Boldt,Taken from Dissertation/Thesis,1
A5027061078,Jun Lü,Error in Image,1
A5027061078,Jun Lü,Error in Methods,1
A5027061078,Jun Lü,Unreliable Results and/or Conclusions,1
A5027281905,Na Li,Computer-Aided Content or Computer-Generated Content,1
A5027281905,Na Li,Concerns/Issues about Data,1
A5027281905,Na Li,Concerns/Issues about Peer Review,1
A5027281905,Na Li,Concerns/Issues about Referencing/Attributions,1
A5027281905,Na Li,Concerns/Issues about Results and/or Conclusions,1
A5027281905,Na Li,Paper Mill,1
A5027281905,Na Li,Unreliable Results and/or Conclusions,1
A5027310258,T. Zhang,Duplication of/in Article,1
A5027327689,Qiang Li,Computer-Aided Content or Computer-Generated Content,1
A5027327689,Qiang Li,Concerns/Issues about Data,1
A5027327689,Qiang Li,Concerns/Issues about Peer Review,1
A5027327689,Qiang Li,Concerns/Issues about Referencing/Attributions,1
A5027327689,Qiang Li,Concerns/Issues about Results and/or Conclusions,1
A5027327689,Qiang Li,Paper Mill,1
A5027327689,Qiang Li,Unreliable Results and/or Conclusions,1
A5027464346,Bingbo Zhang,Error in Analyses,1
A5027464346,Bingbo Zhang,Error in Methods,1
A5027464346,Bingbo Zhang,Unreliable Results and/or Conclusions,1
A5027521117,Ming Li,Computer-Aided Content or Computer-Generated Content,1
A5027521117,Ming Li,Concerns/Issues about Data,1
A5027521117,Ming Li,Concerns/Issues about Peer Review,1
A5027521117,Ming Li,Concerns/Issues about Referencing/Attributions,1
A5027521117,Ming Li,Concerns/Issues about Results and/or Conclusions,1
A5027521117,Ming Li,Paper Mill,1
A5027521117,Ming Li,Unreliable Results and/or Conclusions,1
A5027679708,Lei Zhang,Error in Methods,1
A5027679708,Lei Zhang,Unreliable Results and/or Conclusions,1
A5027826490,Rui Wang,Compromised Peer Review,1
A5027826490,Rui Wang,Paper Mill,1
A5027826490,Rui Wang,Unreliable Results and/or Conclusions,1
A5027918199,Fang Wang,Error in Analyses,1
A5027918199,Fang Wang,Error in Results and/or Conclusions,1
A5027918199,Fang Wang,Original Data and/or Images not Provided and/or not Available,1
A5027925351,Jun Chen,Compromised Peer Review,1
A5027925351,Jun Chen,Paper Mill,1
A5027925351,Jun Chen,Unreliable Results and/or Conclusions,1
A5027944033,Wei Zhao,Concerns/Issues about Data,2
A5027944033,Wei Zhao,Paper Mill,2
A5027944033,Wei Zhao,Author Unresponsive,1
A5027944033,Wei Zhao,Computer-Aided Content or Computer-Generated Content,1
A5027944033,Wei Zhao,Concerns/Issues about Peer Review,1
A5027944033,Wei Zhao,Concerns/Issues about Referencing/Attributions,1
A5027944033,Wei Zhao,Concerns/Issues about Results and/or Conclusions,1
A5027944033,Wei Zhao,Original Data and/or Images not Provided and/or not Available,1
A5027944033,Wei Zhao,Unreliable Results and/or Conclusions,1
A5027944416,Qiang Li,Computer-Aided Content or Computer-Generated Content,1
A5027944416,Qiang Li,Concerns/Issues about Data,1
A5027944416,Qiang Li,Concerns/Issues about Peer Review,1
A5027944416,Qiang Li,Concerns/Issues about Referencing/Attributions,1
A5027944416,Qiang Li,Concerns/Issues about Results and/or Conclusions,1
A5027944416,Qiang Li,Paper Mill,1
A5027944416,Qiang Li,Unreliable Results and/or Conclusions,1
A5028012159,Hao Chen,Concerns/Issues about Authorship/Affiliation,1
A5028012159,Hao Chen,Objections by Author(s),1
A5028012159,Hao Chen,Unreliable Results and/or Conclusions,1
A5028114748,Ashok Pandey,Compromised Peer Review,37
A5028114748,Ashok Pandey,Concerns/Issues about Authorship/Affiliation,37
A5028114748,Ashok Pandey,Objections by Author(s),37
A5028114748,Ashok Pandey,Rogue Editor,37
A5028114748,Ashok Pandey,Conflict of Interest,35
A5028114748,Ashok Pandey,Date of Article and/or Notice Unknown,32
A5028114748,Ashok Pandey,Breach of Policy by Author,28
A5028114748,Ashok Pandey,Upgrade/Update of Prior Notice(s),2
A5028114748,Ashok Pandey,Computer-Aided Content or Computer-Generated Content,1
A5028114748,Ashok Pandey,Concerns/Issues about Data,1
A5028114748,Ashok Pandey,Euphemisms for Plagiarism,1
A5028114748,Ashok Pandey,Plagiarism of/in Article,1
A5028114748,Ashok Pandey,Removed,1
A5028114748,Ashok Pandey,Unreliable Results and/or Conclusions,1
A5028251167,Hui Liu,Computer-Aided Content or Computer-Generated Content,1
A5028251167,Hui Liu,Concerns/Issues about Data,1
A5028251167,Hui Liu,Concerns/Issues about Peer Review,1
A5028251167,Hui Liu,Concerns/Issues about Referencing/Attributions,1
A5028251167,Hui Liu,Concerns/Issues about Results and/or Conclusions,1
A5028251167,Hui Liu,Unreliable Results and/or Conclusions,1
A5028373050,Peng Zhang,Notice - Limited or No Information,3
A5028389743,Jing Wang,Breach of Policy by Author,1
A5028389743,Jing Wang,Compromised Peer Review,1
A5028389743,Jing Wang,Date of Article and/or Notice Unknown,1
A5028389743,Jing Wang,Notice - Limited or No Information,1
A5028389743,Jing Wang,Paper Mill,1
A5028481145,Jing Wang,Computer-Aided Content or Computer-Generated Content,1
A5028481145,Jing Wang,Concerns/Issues about Data,1
A5028481145,Jing Wang,Concerns/Issues about Peer Review,1
A5028481145,Jing Wang,Concerns/Issues about Referencing/Attributions,1
A5028481145,Jing Wang,Concerns/Issues about Results and/or Conclusions,1
A5028481145,Jing Wang,Informed/Patient Consent - None/Withdrawn,1
A5028481145,Jing Wang,Lack of IRB/IACUC Approval and/or Compliance,1
A5028481145,Jing Wang,Paper Mill,1
A5028481145,Jing Wang,Unreliable Results and/or Conclusions,1
A5028599614,Qian Li,Concerns/Issues about Data,1
A5028599614,Qian Li,Concerns/Issues about Human Subject Welfare,1
A5028599614,Qian Li,Concerns/Issues about Peer Review,1
A5028599614,Qian Li,Concerns/Issues about Referencing/Attributions,1
A5028599614,Qian Li,Lack of IRB/IACUC Approval and/or Compliance,1
A5028599614,Qian Li,Unreliable Results and/or Conclusions,1
A5028660596,Jing Zhao,Breach of Policy by Author,1
A5028660596,Jing Zhao,Date of Article and/or Notice Unknown,1
A5028660596,Jing Zhao,Notice - Limited or No Information,1
A5028668508,Lei Zhang,Concerns/Issues about Data,1
A5028668508,Lei Zhang,Concerns/Issues about Peer Review,1
A5028668508,Lei Zhang,Concerns/Issues about Referencing/Attributions,1
A5028668508,Lei Zhang,Concerns/Issues about Results and/or Conclusions,1
A5028668508,Lei Zhang,Informed/Patient Consent - None/Withdrawn,1
A5028668508,Lei Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5028668508,Lei Zhang,Unreliable Results and/or Conclusions,1
A5028750131,Jie Li,Compromised Peer Review,1
A5028750131,Jie Li,Paper Mill,1
A5028750131,Jie Li,Unreliable Results and/or Conclusions,1
A5028846529,Jun Yang,Notice - Limited or No Information,1
A5028850241,Ying Liu,Notice - Limited or No Information,1
A5028970982,Yu Zhang,Compromised Peer Review,1
A5028970982,Yu Zhang,Concerns/Issues about Referencing/Attributions,1
A5028970982,Yu Zhang,Unreliable Results and/or Conclusions,1
A5029116476,Jian Xu,Author Unresponsive,1
A5029116476,Jian Xu,Concerns/Issues about Data,1
A5029116476,Jian Xu,Concerns/Issues about Image,1
A5029116476,Jian Xu,Duplication of/in Image,1
A5029116476,Jian Xu,Objections by Third Party,1
A5029116476,Jian Xu,Original Data and/or Images not Provided and/or not Available,1
A5029116476,Jian Xu,Unreliable Results and/or Conclusions,1
A5029249465,Xin Zhang,Computer-Aided Content or Computer-Generated Content,1
A5029249465,Xin Zhang,Concerns/Issues about Data,1
A5029249465,Xin Zhang,Concerns/Issues about Peer Review,1
A5029249465,Xin Zhang,Concerns/Issues about Referencing/Attributions,1
A5029249465,Xin Zhang,Concerns/Issues about Results and/or Conclusions,1
A5029249465,Xin Zhang,Paper Mill,1
A5029249465,Xin Zhang,Unreliable Results and/or Conclusions,1
A5029294552,Yan Li,Compromised Peer Review,1
A5029326219,T. Liu,Error in Data,27
A5029326219,T. Liu,Falsification/Fabrication of Data,26
A5029386533,Bo Wang,Compromised Peer Review,1
A5029601647,Pei Liu,Notice - Limited or No Information,1
A5029717979,Diederik A. Stapel,Falsification/Fabrication of Data,52
A5029717979,Diederik A. Stapel,Investigation by Company/Institution,49
A5029717979,Diederik A. Stapel,Misconduct - Official Investigation(s) and/or Finding(s),46
A5029717979,Diederik A. Stapel,Misconduct by Author,41
A5029717979,Diederik A. Stapel,Criminal Proceedings,10
A5029717979,Diederik A. Stapel,Concerns/Issues about Data,2
A5029717979,Diederik A. Stapel,Notice - Limited or No Information,2
A5029717979,Diederik A. Stapel,Compromised Peer Review,1
A5029717979,Diederik A. Stapel,Date of Article and/or Notice Unknown,1
A5029717979,Diederik A. Stapel,Ethical Violations by Author,1
A5029717979,Diederik A. Stapel,Informed/Patient Consent - None/Withdrawn,1
A5029717979,Diederik A. Stapel,Investigation by ORI,1
A5029860349,Yan Chen,Concerns/Issues about Image,1
A5029860349,Yan Chen,Duplication of/in Image,1
A5029860349,Yan Chen,Original Data and/or Images not Provided and/or not Available,1
A5029911992,Bin Zhang,Computer-Aided Content or Computer-Generated Content,1
A5029911992,Bin Zhang,Concerns/Issues about Data,1
A5029911992,Bin Zhang,Concerns/Issues about Peer Review,1
A5029911992,Bin Zhang,Concerns/Issues about Referencing/Attributions,1
A5029911992,Bin Zhang,Concerns/Issues about Results and/or Conclusions,1
A5029911992,Bin Zhang,Paper Mill,1
A5029911992,Bin Zhang,Unreliable Results and/or Conclusions,1
A5029918685,Yan Wang,Duplication of/in Image,1
A5029918685,Yan Wang,Unreliable Results and/or Conclusions,1
A5029930363,Xin Li,Falsification/Fabrication of Data,1
A5029930363,Xin Li,Falsification/Fabrication of Image,1
A5029930363,Xin Li,Investigation by Company/Institution,1
A5029930363,Xin Li,Misconduct - Official Investigation(s) and/or Finding(s),1
A5029930363,Xin Li,Misconduct by Author,1
A5029930363,Xin Li,Unreliable Results and/or Conclusions,1
A5029967759,Jun Wang,Compromised Peer Review,1
A5029967759,Jun Wang,Computer-Aided Content or Computer-Generated Content,1
A5029967759,Jun Wang,Concerns/Issues about Referencing/Attributions,1
A5029967759,Jun Wang,Concerns/Issues about Third Party Involvement,1
A5029967759,Jun Wang,Paper Mill,1
A5029967759,Jun Wang,Unreliable Results and/or Conclusions,1
A5029996983,Jing Chen,Concerns/Issues about Data,1
A5029996983,Jing Chen,Concerns/Issues about Human Subject Welfare,1
A5029996983,Jing Chen,Concerns/Issues about Peer Review,1
A5029996983,Jing Chen,Concerns/Issues about Referencing/Attributions,1
A5029996983,Jing Chen,Unreliable Results and/or Conclusions,1
A5030168404,Bin Wang,Concerns/Issues about Peer Review,1
A5030168404,Bin Wang,Objections by Author(s),1
A5030220372,Jie Wang,Compromised Peer Review,1
A5030220372,Jie Wang,Objections by Author(s),1
A5030296858,Hao Wang,Computer-Aided Content or Computer-Generated Content,1
A5030296858,Hao Wang,Concerns/Issues about Data,1
A5030296858,Hao Wang,Concerns/Issues about Peer Review,1
A5030296858,Hao Wang,Concerns/Issues about Referencing/Attributions,1
A5030296858,Hao Wang,Concerns/Issues about Results and/or Conclusions,1
A5030296858,Hao Wang,Paper Mill,1
A5030296858,Hao Wang,Unreliable Results and/or Conclusions,1
A5030335492,Yan Zhang,Unreliable Results and/or Conclusions,3
A5030335492,Yan Zhang,Concerns/Issues about Data,2
A5030335492,Yan Zhang,Concerns/Issues about Peer Review,2
A5030335492,Yan Zhang,Concerns/Issues about Referencing/Attributions,2
A5030335492,Yan Zhang,Compromised Peer Review,1
A5030335492,Yan Zhang,Duplication of/in Image,1
A5030335492,Yan Zhang,Error in Image,1
A5030335492,Yan Zhang,Euphemisms for Plagiarism,1
A5030335492,Yan Zhang,Notice - Limited or No Information,1
A5030335492,Yan Zhang,Original Data and/or Images not Provided and/or not Available,1
A5030335492,Yan Zhang,Plagiarism of Image,1
A5030361217,Hao Zhang,Computer-Aided Content or Computer-Generated Content,1
A5030361217,Hao Zhang,Concerns/Issues about Data,1
A5030361217,Hao Zhang,Concerns/Issues about Peer Review,1
A5030361217,Hao Zhang,Concerns/Issues about Referencing/Attributions,1
A5030361217,Hao Zhang,Concerns/Issues about Results and/or Conclusions,1
A5030361217,Hao Zhang,Paper Mill,1
A5030361217,Hao Zhang,Unreliable Results and/or Conclusions,1
A5030450451,Ying Liu,Breach of Policy by Author,1
A5030450451,Ying Liu,Compromised Peer Review,1
A5030450451,Ying Liu,Date of Article and/or Notice Unknown,1
A5030450451,Ying Liu,Notice - Limited or No Information,1
A5030450451,Ying Liu,Paper Mill,1
A5030551183,Bin Wang,Compromised Peer Review,1
A5030551183,Bin Wang,Concerns/Issues about Authorship/Affiliation,1
A5030551183,Bin Wang,Concerns/Issues about Image,1
A5030551183,Bin Wang,Duplication of/in Article,1
A5030551183,Bin Wang,Euphemisms for Duplication,1
A5030625908,Tao Li,Computer-Aided Content or Computer-Generated Content,1
A5030625908,Tao Li,Concerns/Issues about Data,1
A5030625908,Tao Li,Concerns/Issues about Peer Review,1
A5030625908,Tao Li,Concerns/Issues about Referencing/Attributions,1
A5030625908,Tao Li,Concerns/Issues about Results and/or Conclusions,1
A5030625908,Tao Li,Paper Mill,1
A5030625908,Tao Li,Unreliable Results and/or Conclusions,1
A5030686595,Jun Yang,Compromised Peer Review,1
A5030686595,Jun Yang,Rogue Editor,1
A5030686595,Jun Yang,Unreliable Results and/or Conclusions,1
A5030715283,M. Ghoranneviss,Compromised Peer Review,57
A5030715283,M. Ghoranneviss,Duplication of/in Article,52
A5030715283,M. Ghoranneviss,Euphemisms for Duplication,50
A5030715283,M. Ghoranneviss,Unreliable Results and/or Conclusions,42
A5030715283,M. Ghoranneviss,Concerns/Issues about Peer Review,35
A5030715283,M. Ghoranneviss,Concerns/Issues about Authorship/Affiliation,20
A5030715283,M. Ghoranneviss,Author Unresponsive,14
A5030715283,M. Ghoranneviss,Concerns/Issues about Article,10
A5030715283,M. Ghoranneviss,Concerns/Issues about Image,2
A5030715283,M. Ghoranneviss,Concerns/Issues about Results and/or Conclusions,2
A5030715283,M. Ghoranneviss,Duplication of/in Image,2
A5030715283,M. Ghoranneviss,False/Forged Authorship,2
A5030715283,M. Ghoranneviss,Copyright Claims,1
A5030715283,M. Ghoranneviss,Date of Article and/or Notice Unknown,1
A5030715283,M. Ghoranneviss,Ethical Violations by Author,1
A5030715283,M. Ghoranneviss,Lack of Approval from Author,1
A5030715283,M. Ghoranneviss,Objections by Author(s),1
A5030715283,M. Ghoranneviss,Plagiarism of/in Article,1
A5030715283,M. Ghoranneviss,Upgrade/Update of Prior Notice(s),1
A5030823415,Yang Li,Notice - Unable to Access via current resources,1
A5030853272,Jin Zhang,Breach of Policy by Author,1
A5030853272,Jin Zhang,Date of Article and/or Notice Unknown,1
A5030853272,Jin Zhang,Notice - Limited or No Information,1
A5030932645,Feng Li,Computer-Aided Content or Computer-Generated Content,1
A5030932645,Feng Li,Concerns/Issues about Data,1
A5030932645,Feng Li,Concerns/Issues about Peer Review,1
A5030932645,Feng Li,Concerns/Issues about Referencing/Attributions,1
A5030932645,Feng Li,Concerns/Issues about Results and/or Conclusions,1
A5030932645,Feng Li,Paper Mill,1
A5030932645,Feng Li,Unreliable Results and/or Conclusions,1
A5030943557,Zhang Jin,Unreliable Results and/or Conclusions,2
A5030943557,Zhang Jin,Compromised Peer Review,1
A5030943557,Zhang Jin,Concerns/Issues about Data,1
A5030943557,Zhang Jin,Concerns/Issues about Peer Review,1
A5030943557,Zhang Jin,Concerns/Issues about Referencing/Attributions,1
A5030943557,Zhang Jin,Concerns/Issues about Results and/or Conclusions,1
A5030943557,Zhang Jin,Paper Mill,1
A5030964174,Yu Liu,Compromised Peer Review,1
A5030964174,Yu Liu,Paper Mill,1
A5030964174,Yu Liu,Unreliable Results and/or Conclusions,1
A5030965157,Wang Fang,Computer-Aided Content or Computer-Generated Content,1
A5030965157,Wang Fang,Concerns/Issues about Data,1
A5030965157,Wang Fang,Concerns/Issues about Peer Review,1
A5030965157,Wang Fang,Concerns/Issues about Referencing/Attributions,1
A5030965157,Wang Fang,Concerns/Issues about Results and/or Conclusions,1
A5030965157,Wang Fang,Paper Mill,1
A5030965157,Wang Fang,Unreliable Results and/or Conclusions,1
A5031091204,Wei Wang,Computer-Aided Content or Computer-Generated Content,1
A5031091204,Wei Wang,Concerns/Issues about Data,1
A5031091204,Wei Wang,Concerns/Issues about Peer Review,1
A5031091204,Wei Wang,Concerns/Issues about Referencing/Attributions,1
A5031091204,Wei Wang,Concerns/Issues about Results and/or Conclusions,1
A5031091204,Wei Wang,Paper Mill,1
A5031091204,Wei Wang,Unreliable Results and/or Conclusions,1
A5031232338,Wei Liu,Notice - Limited or No Information,1
A5031327561,Yoshitaka Fujii,Investigation by Company/Institution,140
A5031327561,Yoshitaka Fujii,Misconduct by Author,139
A5031327561,Yoshitaka Fujii,Misconduct - Official Investigation(s) and/or Finding(s),136
A5031327561,Yoshitaka Fujii,Falsification/Fabrication of Data,129
A5031327561,Yoshitaka Fujii,Lack of IRB/IACUC Approval and/or Compliance,50
A5031327561,Yoshitaka Fujii,Upgrade/Update of Prior Notice(s),36
A5031327561,Yoshitaka Fujii,Falsification/Fabrication of Results,20
A5031327561,Yoshitaka Fujii,Unreliable Data,9
A5031327561,Yoshitaka Fujii,Ethical Violations by Author,7
A5031327561,Yoshitaka Fujii,Cites Retracted Work,3
A5031327561,Yoshitaka Fujii,Informed/Patient Consent - None/Withdrawn,3
A5031327561,Yoshitaka Fujii,Concerns/Issues about Data,2
A5031327561,Yoshitaka Fujii,False/Forged Authorship,2
A5031327561,Yoshitaka Fujii,Falsification/Fabrication of Image,2
A5031327561,Yoshitaka Fujii,Notice - Unable to Access via current resources,2
A5031327561,Yoshitaka Fujii,Lack of Approval from Company/Institution,1
A5031327561,Yoshitaka Fujii,Lack of Approval from Third Party,1
A5031327561,Yoshitaka Fujii,Unreliable Results and/or Conclusions,1
A5031388726,Jin Zhang,Ethical Violations by Author,1
A5031388726,Jin Zhang,Lack of IRB/IACUC Approval and/or Compliance,1
A5031426722,Bo Wang,Computer-Aided Content or Computer-Generated Content,1
A5031426722,Bo Wang,Concerns/Issues about Data,1
A5031426722,Bo Wang,Concerns/Issues about Peer Review,1
A5031426722,Bo Wang,Concerns/Issues about Referencing/Attributions,1
A5031426722,Bo Wang,Concerns/Issues about Results and/or Conclusions,1
A5031426722,Bo Wang,Paper Mill,1
A5031426722,Bo Wang,Unreliable Results and/or Conclusions,1
A5031540238,Jing Yang,Author Unresponsive,2
A5031540238,Jing Yang,Unreliable Results and/or Conclusions,2
A5031540238,Jing Yang,Concerns/Issues about Peer Review,1
A5031540238,Jing Yang,Concerns/Issues about Referencing/Attributions,1
A5031540238,Jing Yang,Rogue Editor,1
A5031646526,Jing Zhang,Compromised Peer Review,1
A5031646526,Jing Zhang,Paper Mill,1
A5031646526,Jing Zhang,Unreliable Results and/or Conclusions,1
A5031733486,Rui Zhang,Computer-Aided Content or Computer-Generated Content,1
A5031733486,Rui Zhang,Concerns/Issues about Data,1
A5031733486,Rui Zhang,Concerns/Issues about Peer Review,1
A5031733486,Rui Zhang,Concerns/Issues about Referencing/Attributions,1
A5031733486,Rui Zhang,Concerns/Issues about Results and/or Conclusions,1
A5031733486,Rui Zhang,Paper Mill,1
A5031733486,Rui Zhang,Unreliable Results and/or Conclusions,1
A5031774812,Jun Yang,Computer-Aided Content or Computer-Generated Content,1
A5031774812,Jun Yang,Concerns/Issues about Data,1
A5031774812,Jun Yang,Concerns/Issues about Peer Review,1
A5031774812,Jun Yang,Concerns/Issues about Referencing/Attributions,1
A5031774812,Jun Yang,Concerns/Issues about Results and/or Conclusions,1
A5031774812,Jun Yang,Paper Mill,1
A5031774812,Jun Yang,Unreliable Results and/or Conclusions,1
A5032071700,Tao Liu,Euphemisms for Plagiarism,2
A5032071700,Tao Liu,Plagiarism of Image,2
A5032071700,Tao Liu,Concerns/Issues about Image,1
A5032071700,Tao Liu,Falsification/Fabrication of Image,1
A5032073958,Dan Wang,Compromised Peer Review,1
A5032073958,Dan Wang,Paper Mill,1
A5032073958,Dan Wang,Unreliable Results and/or Conclusions,1
A5032161264,Jie Li,Compromised Peer Review,1
A5032161264,Jie Li,Paper Mill,1
A5032161264,Jie Li,Unreliable Results and/or Conclusions,1
A5032165975,Hui Liu,Notice - Limited or No Information,1
A5032276114,Jing Wang,Notice - Limited or No Information,1
A5032306716,Lei Zhang,Computer-Aided Content or Computer-Generated Content,1
A5032306716,Lei Zhang,Concerns/Issues about Data,1
A5032306716,Lei Zhang,Concerns/Issues about Peer Review,1
A5032306716,Lei Zhang,Concerns/Issues about Referencing/Attributions,1
A5032306716,Lei Zhang,Concerns/Issues about Results and/or Conclusions,1
A5032306716,Lei Zhang,Paper Mill,1
A5032306716,Lei Zhang,Unreliable Results and/or Conclusions,1
A5032345419,Hui Zhang,Compromised Peer Review,1
A5032345419,Hui Zhang,Computer-Aided Content or Computer-Generated Content,1
A5032345419,Hui Zhang,Concerns/Issues about Peer Review,1
A5032345419,Hui Zhang,Concerns/Issues about Referencing/Attributions,1
A5032345419,Hui Zhang,Concerns/Issues about Third Party Involvement,1
A5032345419,Hui Zhang,Date of Article and/or Notice Unknown,1
A5032345419,Hui Zhang,Error by Journal/Publisher,1
A5032345419,Hui Zhang,Paper Mill,1
A5032345419,Hui Zhang,Removed,1
A5032345419,Hui Zhang,Rogue Editor,1
A5032345419,Hui Zhang,Unreliable Results and/or Conclusions,1
A5032355023,Yu Wang,Compromised Peer Review,1
A5032355023,Yu Wang,Paper Mill,1
A5032355023,Yu Wang,Unreliable Results and/or Conclusions,1
A5032383296,Yan Wang,Computer-Aided Content or Computer-Generated Content,1
A5032383296,Yan Wang,Concerns/Issues about Data,1
A5032383296,Yan Wang,Concerns/Issues about Peer Review,1
A5032383296,Yan Wang,Concerns/Issues about Referencing/Attributions,1
A5032383296,Yan Wang,Concerns/Issues about Results and/or Conclusions,1
A5032383296,Yan Wang,Informed/Patient Consent - None/Withdrawn,1
A5032383296,Yan Wang,Lack of IRB/IACUC Approval and/or Compliance,1
A5032383296,Yan Wang,Paper Mill,1
A5032383296,Yan Wang,Unreliable Results and/or Conclusions,1
A5032441724,Tao Wang,Computer-Aided Content or Computer-Generated Content,1
A5032441724,Tao Wang,Concerns/Issues about Data,1
A5032441724,Tao Wang,Concerns/Issues about Peer Review,1
A5032441724,Tao Wang,Concerns/Issues about Referencing/Attributions,1
A5032441724,Tao Wang,Concerns/Issues about Results and/or Conclusions,1
A5032441724,Tao Wang,Paper Mill,1
A5032441724,Tao Wang,Unreliable Results and/or Conclusions,1
A5032456044,Yu Zhang,Concerns/Issues about Data,1
A5032456044,Yu Zhang,Concerns/Issues about Image,1
A5032456044,Yu Zhang,Duplication of/in Image,1
A5032456044,Yu Zhang,Unreliable Results and/or Conclusions,1
