rank,doi,openalex_id,title,authors,journal,publisher,publication_year,retraction_year,post_retraction_citations
20,10.1038/nmeth.4293,W2619806210,Unexpected mutations after CRISPR–Cas9 editing in vivo,Kellie A Schaefer;Wen-Hsuan Wu;Diana F Colgan;Stephen H Tsang;Alexander G Bassuk;Vinit B Mahajan,Nature Methods,Springer - Nature Publishing Group,2017,2018,133
21,10.1002/14651858.cd001872.pub2,W2119057053,Interventions for treating obesity in children (Pub 2),Hiltje Oude Luttikhuis;Louise Baur;Hanneke Jansen;Vanessa A Shrewsbury;Claire O'Malley;Ronald P Stolk;Carolyn D Summerbell,Cochrane Database of Systematic Reviews,Wiley,2009,2019,128
22,10.1155/2015/978654,W2140443438,Biomolecular Modulation of Neurodegenerative Events during Ageing,Marcella Nebbioso;Gianfranco Scarsella;Aloisa Librando;Nicola Pescosolido,Oxidative Medicine and Cellular Longevity,Hindawi,2015,2019,128
23,10.1073/pnas.0911570106,W2171217650,Increased muscle PGC-1alpha expression protects from sarcopenia and metabolic disease during aging,Tina Wenz;Susana G Rossi;Richard L Rotundo;Bruce M Spiegelman;Carlos T Moraes,PNAS: Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences (NAS),2009,2016,125
24,10.1186/1471-2180-10-1,W2140132276,Molecular Characterization of Legionella Pneumophila-induced Interleukin-8 Expression in T Cells,Reika Takamatsu;Hiromitsu Teruya;Eriko Takeshima;Chie Ishikawa;Kunihiro Matsumoto;Naofumi Mukaida;Jian-Dong Li;Klaus Heuner;Futoshi Higa;Jiro Fujita;Naoki Mori,BMC Microbiology,BioMed Central (BMC),2010,2011,120
25,10.5267/j.msl.2019.5.012,W2945003751,Measuring the critical effect of marketing mix on customer loyalty through customer satisfaction in food and beverage products,Suci Ayu Sudaria;Aran Kumar Tarofder;Ali Chatibia;Jacquline Tham,Management Science Letters,Growing Science Publishing Company,2019,2020,120
26,10.1073/pnas.94.9.4526,W2112602336,Mutations in mitochondrial cytochrome c oxidase genes segregate with late-onset Alzheimer disease,Robert E Davis;Scott Miller;Corinna Herrnstadt;Soumitra S Ghosh;Eoin Fahy;Leslie A Shinobu;Douglas Galesko;Leon J Thal;M Flint Beal;Neil Howell;W Davis Parker,PNAS: Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences (NAS),1997,1998,118
27,10.1038/nature22062,W2612346593,Asia’s glaciers are a regionally important buffer against drought,Hamish D Pritchard,Nature,Springer - Nature Publishing Group,2017,2018,116
28,10.1038/ni.1741,W1983899969,Interleukin 17 acts in synergy with B cell-activating factor to influence B cell biology and the pathophysiology of systemic lupus erythematosus,Agnes Doreau;Alexandre Belot;Jeremy Bastid;Benjamin Riche;Marie Claude Trescol-Biemont;Bruno Ranchin;Nicole Fabien;Pierre Cochat;Claire Pouteil-Noble;Pierre Trolliet;Isabelle Durieu;Jacques Tebib;Berhouz Kassai;Stephane Ansieau;Alain Puisieux;Jean Francois Eliaou;Nathalie Bonnefoy-Berard,Nature Immunology,Springer - Nature Publishing Group,2013,2014,113
29,10.1016/j.cell.2013.04.008,W2104584321,Betatrophin: A Hormone that Controls Pancreatic beta Cell Proliferation,Peng Yi;Ji-Sun Park;Douglas A Melton,Cell,Elsevier - Cell Press,2013,2017,111
30,10.1016/j.isprsjprs.2018.11.011,W2883423620,Aerial imagery for roof segmentation: A large-scale dataset towards automatic mapping of buildings,Qi Chen;Lei Wang;Yifan Wu;Guangming Wu;Zhiling Guo;Steven L Waslander,ISPRS Journal of Photogrammetry and Remote Sensing,Elsevier,2018,2019,108
31,10.1016/j.msea.2010.04.021,W2059098075,Environmental Resistance and Mechanical Performance of Basalt and Glass Fibers,Bin Wei;Hailin Cao;Shenhua Song,Materials Science and Engineering: A,Elsevier,2010,2015,102
32,10.1002/14651858.cd001398.pub2,W1831658672,Laparoscopic surgery for subfertility associated with endometriosis (Pub 2),Tal Z Jacobson;James MN Duffy;David H Barlow;Cindy Farquhar;Philippe R Koninckx;David Olive,Cochrane Database of Systematic Reviews,Wiley,2010,2014,101
33,10.1002/14651858.cd008143.pub3,W4230682689,Targeting intensive glycaemic control versus targeting conventional glycaemic control for type 2 diabetes mellitus (Pub 3),Bianca Hemmingsen;Soren S Lund;Christian Gluud;Allan Vaag;Thomas P Almdal;Jørn Wetterslev,Cochrane Database of Systematic Reviews,Wiley,2013,2015,101
34,10.1038/s41562-017-0132,W2703096805,Limited individual attention and online virality of low-quality information,Xiaoyan Qiu;Diego F M Oliveira;Alireza Sahami Shirazi;Alessandro Flammini;Filippo Menczer,Nature Human Behavior,Springer - Nature Publishing Group,2017,2019,100
35,10.1002/14651858.cd001724.pub2,W1889663678,Guided tissue regeneration for periodontal infra-bony defects (Pub 2),Ian Needleman;Helen V Worthington;Elaine Giedrys Leeper;Richard Tucker,Cochrane Database of Systematic Reviews,Wiley,2006,2019,95
36,10.1016/j.rser.2015.04.166,W1866429230,Artificial neural networks applications in wind energy systems: a review,Rasit Ata,Renewable and Sustainable Energy Reviews,Elsevier,2015,2018,95
37,10.1002/14651858.cd001960.pub3,W2158354121,Pharmacological interventions for non‐ulcer dyspepsia (Pub 3),Paul Moayyedi;Shelly Soo;Jonathan J Deeks;Brendan Delaney;Michael Innes;David Forman,Cochrane Database of Systematic Reviews,Wiley,2006,2011,94
