source_openalex_author_id,canonical_openalex_author_id,canonical_author,profile_group_size,decision
A5008114041,A5008114041,Jie Chen,1,Exact DOI-level match
A5008213873,A5008213873,Jun Zhang,1,Exact DOI-level match
A5008318334,A5008318334,Hao Zhang,1,Exact DOI-level match
A5008425595,A5008425595,Qiang Li,1,Exact DOI-level match
A5008518906,A5008518906,Jing Zhao,1,Exact DOI-level match
A5008570719,A5008570719,Feng Wang,1,Exact DOI-level match
A5008717871,A5008717871,Lei Wang,1,Exact DOI-level match
A5008724498,A5008724498,Yan Liu,1,Exact DOI-level match
A5008773119,A5008773119,Yong Zhang,1,Exact DOI-level match
A5008829405,A5008829405,Lin Wang,1,Exact DOI-level match
A5008881437,A5008881437,Wei Zhang,1,Exact DOI-level match
A5008916846,A5008916846,Bo Wang,1,Exact DOI-level match
A5008992137,A5008992137,Jing Wang,1,Exact DOI-level match
A5009045763,A5009045763,Jing Li,1,Exact DOI-level match
A5009386422,A5009386422,Jian Xu,1,Exact DOI-level match
A5009404304,A5009404304,Gang Wang,1,Exact DOI-level match
A5009411552,A5009411552,Qian Zhang,1,Exact DOI-level match
A5009517684,A5009517684,Jian Xu,1,Exact DOI-level match
A5009553418,A5009553418,Lin Zhang,1,Exact DOI-level match
A5009695635,A5009695635,Juan Li,1,Exact DOI-level match
A5009949085,A5009949085,Wei Zhao,1,Exact DOI-level match
A5009985129,A5009985129,Hironobu Ueshima,1,Exact DOI-level match
A5010246094,A5010246094,Jun Zhang,1,Exact DOI-level match
A5010249218,A5010249218,Jie Zhang,1,Exact DOI-level match
A5010261091,A5010261091,Lin Wang,1,Exact DOI-level match
A5010827491,A5010827491,Min Zhang,1,Exact DOI-level match
A5010846614,A5010846614,Jun Li,1,Exact DOI-level match
A5010940242,A5010940242,Yang Wang,1,Exact DOI-level match
A5010949036,A5010949036,Rui Wang,1,Exact DOI-level match
A5010958243,A5010958243,Ying Wang,1,Exact DOI-level match
A5010978341,A5010978341,Yi Wang,1,Exact DOI-level match
A5010993715,A5010993715,Yu Zhang,1,Exact DOI-level match
A5011049502,A5011049502,Jing Zhao,1,Exact DOI-level match
A5011210400,A5011210400,Min Zhang,1,Exact DOI-level match
A5011258836,A5011258836,Feng Wang,1,Exact DOI-level match
A5011347232,A5011347232,Ying Zhang,1,Exact DOI-level match
A5011359621,A5011359621,Ying Zhang,1,Exact DOI-level match
A5011410001,A5011410001,Feng Li,1,Exact DOI-level match
A5011429168,A5011429168,Ying Zhang,1,Exact DOI-level match
A5011550595,A5011550595,Hong Li,1,Exact DOI-level match
A5011701654,A5011701654,Wei Zhang,1,Exact DOI-level match
A5011749539,A5011749539,Xin Li,1,Exact DOI-level match
A5011751975,A5011751975,Yong Wang,1,Exact DOI-level match
A5011792338,A5011792338,Ying Zhang,1,Exact DOI-level match
A5011863186,A5011863186,Li Zhang,1,Exact DOI-level match
A5011885525,A5011885525,Hui Zhang,1,Exact DOI-level match
A5011888863,A5011888863,Jie Wang,1,Exact DOI-level match
A5011912885,A5011912885,Wei Wang,1,Exact DOI-level match
A5012050321,A5012050321,Yu Liu,1,Exact DOI-level match
A5012063033,A5012063033,Hui Liu,1,Exact DOI-level match
A5012124607,A5012124607,Qiang Li,1,Exact DOI-level match
A5012249136,A5012249136,Yi Zhang,1,Exact DOI-level match
A5012340726,A5012340726,Wei Liu,1,Exact DOI-level match
A5012387700,A5012387700,Jun Wang,1,Exact DOI-level match
A5012413755,A5012413755,Jun Li,1,Exact DOI-level match
A5012506063,A5012506063,Yasunori Sato,1,Unresolved abbreviation
A5012585311,A5012585311,Jian Xu,1,Exact DOI-level match
A5012858773,A5012858773,Yan Li,1,Exact DOI-level match
A5012870940,A5012870940,Jing Li,1,Exact DOI-level match
A5012877783,A5012877783,Yang Yang,1,Exact DOI-level match
A5012882774,A5012882774,Ping Wang,1,Exact DOI-level match
A5012938528,A5012938528,Lei Li,1,Exact DOI-level match
A5013041751,A5013041751,Jian Zhang,1,Exact DOI-level match
A5013165064,A5013165064,Ming Li,1,Exact DOI-level match
A5013190448,A5013190448,Feng Li,1,Exact DOI-level match
A5013241415,A5013241415,Wei Wang,1,Exact DOI-level match
A5013416069,A5013416069,Qi Wang,1,Exact DOI-level match
A5013467294,A5013467294,Xin Zhang,1,Exact DOI-level match
A5013494150,A5013494150,Hui Li,1,Exact DOI-level match
A5013585741,A5013585741,Jing Chen,1,Exact DOI-level match
A5013619990,A5013619990,Bo Wang,1,Exact DOI-level match
A5013634562,A5013634562,Xi Chen,1,Exact DOI-level match
A5013637763,A5013637763,Bo Li,1,Exact DOI-level match
A5013663299,A5013663299,Juan Li,1,Exact DOI-level match
A5013911877,A5013911877,Gang Wang,1,Exact DOI-level match
A5013925708,A5013925708,Lin Zhang,1,Exact DOI-level match
A5013928979,A5013928979,Jun Yang,1,Exact DOI-level match
A5014023805,A5014023805,Jie Chen,1,Exact DOI-level match
A5014031610,A5014031610,Gang Li,1,Exact DOI-level match
A5014102697,A5014102697,Lei Li,1,Exact DOI-level match
A5014135483,A5014135483,Ying Li,1,Exact DOI-level match
A5014223967,A5014223967,Chao Wang,1,Exact DOI-level match
A5014231537,A5014231537,Ying Wang,1,Exact DOI-level match
A5014247970,A5014247970,Yong Wang,1,Exact DOI-level match
A5014292481,A5014292481,Jing Yang,1,Exact DOI-level match
A5014322283,A5014322283,Yan Liu,1,Exact DOI-level match
A5014354722,A5014354722,Chao Wang,1,Exact DOI-level match
A5014414658,A5014414658,Gang Wang,1,Exact DOI-level match
A5014470051,A5014470051,Bo Zhang,1,Exact DOI-level match
A5014528687,A5014528687,Tao Zhang,1,Exact DOI-level match
A5014610739,A5014610739,Jing Wang,1,Exact DOI-level match
A5014850606,A5014850606,Lei Zhang,1,Exact DOI-level match
A5015003653,A5015003653,Wei Li,1,Exact DOI-level match
A5015005775,A5015005775,Ying Liu,1,Exact DOI-level match
A5015022905,A5015022905,Li Wang,1,Exact DOI-level match
A5015090617,A5015090617,Jie Chen,1,Exact DOI-level match
A5015200260,A5015200260,Jun Liu,1,Exact DOI-level match
A5015240075,A5029326219,T. Liu,7,Merged 7 profile fragments; full name unresolved
A5015262601,A5015262601,Wei Li,1,Exact DOI-level match
A5015270944,A5015270944,Jian Zhang,1,Exact DOI-level match
A5015316618,A5015316618,Yan Liu,1,Exact DOI-level match
A5015400531,A5015400531,Bo Li,1,Exact DOI-level match
A5015412414,A5015412414,Hao Wang,1,Exact DOI-level match
A5015554999,A5015554999,Nan Li,1,Exact DOI-level match
A5015620665,A5015620665,Wei Zhao,1,Exact DOI-level match
A5015648401,A5015648401,Ying Liu,1,Exact DOI-level match
A5015648581,A5015648581,Qi Wang,1,Exact DOI-level match
A5015675820,A5015675820,Qiang Li,1,Exact DOI-level match
A5015833745,A5015833745,Wei Zhao,1,Exact DOI-level match
A5015857920,A5015857920,Jing Li,1,Exact DOI-level match
A5015873217,A5015873217,Michael Heck,1,Exact DOI-level match
A5015996319,A5015996319,Ling Wang,1,Exact DOI-level match
A5016017312,A5016017312,Fang Wang,1,Exact DOI-level match
A5016138743,A5016138743,Lei Zhang,1,Exact DOI-level match
A5016204133,A5016204133,D. Liakopoulos,1,Unresolved abbreviation
A5016222194,A5016222194,Jun Chen,1,Exact DOI-level match
A5016243849,A5016243849,Jie Li,1,Exact DOI-level match
A5016295569,A5016295569,Hong Zhang,1,Exact DOI-level match
A5016487886,A5016487886,Lei Zhang,1,Exact DOI-level match
A5016525604,A5016525604,Bo Li,1,Exact DOI-level match
A5016603642,A5016603642,Lei Liu,1,Exact DOI-level match
A5016607393,A5016607393,Jin Zhang,1,Exact DOI-level match
A5016661007,A5016661007,Peng Li,1,Exact DOI-level match
A5016670060,A5016670060,Jing Zhao,1,Exact DOI-level match
A5016789476,A5016789476,Hui Zhang,1,Exact DOI-level match
A5016817473,A5016817473,Jing Zhao,1,Exact DOI-level match
A5016838980,A5016838980,Jun Yang,1,Exact DOI-level match
A5016846133,A5016846133,Jie Wang,1,Exact DOI-level match
A5016896263,A5016896263,Min Wang,1,Exact DOI-level match
A5016899308,A5016899308,Yang Zhang,1,Exact DOI-level match
A5016959602,A5031327561,Yoshitaka Fujii,2,Merged 2 OpenAlex profiles
A5016970221,A5016970221,Jing Li,1,Exact DOI-level match
A5017128990,A5017128990,Yan Zhang,1,Exact DOI-level match
A5017212315,A5017212315,Yü Liu,1,Exact DOI-level match
A5017505207,A5017505207,Jing Yang,1,Exact DOI-level match
A5017585343,A5017585343,Li Lei,1,Exact DOI-level match
A5017624626,A5017624626,Yu Wang,1,Exact DOI-level match
A5017964223,A5017964223,Peng Li,1,Exact DOI-level match
A5017995918,A5017995918,J. Zhang,1,Exact DOI-level match
A5018012012,A5018012012,Gang Li,1,Exact DOI-level match
A5018029635,A5018029635,Li Wang,1,Exact DOI-level match
A5018073436,A5018073436,Hui Liu,1,Exact DOI-level match
A5018203674,A5018203674,Yan Wang,1,Exact DOI-level match
A5018216497,A5018216497,Yan Li,1,Exact DOI-level match
A5018393696,A5018393696,Bin Zhang,1,Exact DOI-level match
A5018460987,A5018460987,Rui Wang,1,Exact DOI-level match
A5018471110,A5018471110,Xin Zhang,1,Exact DOI-level match
A5018534416,A5018534416,Min Wang,1,Exact DOI-level match
A5018679281,A5018679281,Xi Chen,1,Exact DOI-level match
A5018805981,A5018805981,L Wang,1,Unresolved abbreviation
A5019138834,A5019138834,Y Wang,1,Unresolved abbreviation
A5019149037,A5019149037,Li Wang,1,Exact DOI-level match
A5019152108,A5019152108,Ying Li,1,Exact DOI-level match
A5019378283,A5019378283,Jun Chen,1,Exact DOI-level match
A5019663287,A5019663287,Jie Liu,1,Exact DOI-level match
A5019733640,A5019733640,Jun Wang,1,Exact DOI-level match
A5019794077,A5019794077,Jun Chen,1,Exact DOI-level match
A5019802003,A5019802003,Lei Wang,1,Exact DOI-level match
A5019822259,A5019822259,Hui Zhang,1,Exact DOI-level match
A5019823979,A5019823979,Ming Li,1,Exact DOI-level match
A5019869278,A5019869278,Ying Zhang,1,Exact DOI-level match
A5019989501,A5019989501,Q Li,1,Unresolved abbreviation
A5020200923,A5020200923,Jian Li,1,Exact DOI-level match
A5020322897,A5020322897,Jun Wang,1,Exact DOI-level match
A5020354230,A5020354230,Yan Zhang,1,Exact DOI-level match
A5020394491,A5020394491,Feng Li,1,Exact DOI-level match
A5020713910,A5020713910,Yang Liu,1,Exact DOI-level match
A5020749950,A5020749950,Jin Wang,1,Exact DOI-level match
A5020755753,A5020755753,Wei Zhao,1,Exact DOI-level match
A5020969863,A5020969863,Yang Wang,1,Exact DOI-level match
A5021079201,A5021079201,Jian Xu,1,Exact DOI-level match
A5021357452,A5021357452,Yong Zhang,1,Exact DOI-level match
A5021396279,A5021396279,Yi Wang,1,Exact DOI-level match
A5021396836,A5021396836,Hong Li,1,Exact DOI-level match
A5021403424,A5021403424,Hui Liu,1,Exact DOI-level match
A5021587687,A5021587687,Chandra Gopala Rao,1,Exact DOI-level match
A5021686024,A5021686024,Li Wang,1,Exact DOI-level match
A5021789427,A5021789427,Jing Liu,1,Exact DOI-level match
A5022072267,A5022072267,Yu Liu,1,Exact DOI-level match
A5022147727,A5022147727,Jing Li,1,Exact DOI-level match
A5022191573,A5022191573,Ming Li,1,Exact DOI-level match
A5022221420,A5022221420,Jing Wang,1,Exact DOI-level match
A5022385871,A5022385871,Jing Li,1,Exact DOI-level match
A5022393623,A5022393623,Wei Zhao,1,Exact DOI-level match
A5022422432,A5022422432,Yu Liu,1,Exact DOI-level match
A5022437227,A5022437227,Jun Zhang,1,Exact DOI-level match
A5022445441,A5022445441,Jun Li,1,Exact DOI-level match
A5022545876,A5022545876,Qiang Li,1,Exact DOI-level match
A5022663899,A5022663899,Rui Wang,1,Exact DOI-level match
A5022668271,A5022668271,Yang Li,1,Exact DOI-level match
A5022728411,A5022728411,Jun Zhang,1,Exact DOI-level match
A5022801986,A5022801986,Min Li,1,Exact DOI-level match
A5022913556,A5022913556,Bin Zhang,1,Exact DOI-level match
A5022927606,A5022927606,Xin Wang,1,Exact DOI-level match
A5023061114,A5023061114,Wei Zhang,1,Exact DOI-level match
A5023158319,A5023158319,Wei Li,1,Exact DOI-level match
A5023161928,A5023161928,Feng Li,1,Exact DOI-level match
A5023162457,A5023162457,Jing Chen,1,Exact DOI-level match
A5023191101,A5023191101,Jie Zhang,1,Exact DOI-level match
A5023343562,A5023343562,Jing Li,1,Exact DOI-level match
A5023366065,A5023366065,Tao Wang,1,Exact DOI-level match
A5023421415,A5023421415,Bo Wang,1,Exact DOI-level match
A5023526748,A5023526748,Lei Zhang,1,Exact DOI-level match
A5023532600,A5023532600,Nan Li,1,Exact DOI-level match
A5023554955,A5023554955,Tao Wang,1,Exact DOI-level match
A5023556422,A5023556422,Wei Zhao,1,Exact DOI-level match
A5023583451,A5023583451,Feng Wang,1,Exact DOI-level match
A5023806511,A5023806511,Wei Chen,1,Exact DOI-level match
A5023828770,A5023828770,Feng Wang,1,Exact DOI-level match
A5023834481,A5023834481,Wei Zhao,1,Exact DOI-level match
A5023886785,A5023886785,Jing Li,1,Exact DOI-level match
A5023894502,A5023894502,Ying Wang,1,Exact DOI-level match
A5023949389,A5023949389,Hidenori Toyooka,3,Merged 3 OpenAlex profiles
A5023978169,A5023978169,Jun Yang,1,Exact DOI-level match
A5023984232,A5023984232,Zhang We,1,Exact DOI-level match
A5023985119,A5023985119,Ying Li,1,Exact DOI-level match
A5024036992,A5024036992,Jing Yang,1,Exact DOI-level match
A5024126105,A5024126105,Zhao Jing,1,Exact DOI-level match
A5024131897,A5024131897,Tao Li,1,Exact DOI-level match
A5024267654,A5024267654,Ying Zhang,1,Exact DOI-level match
A5024279012,A5024279012,Yi Zhang,1,Exact DOI-level match
A5024511254,A5024511254,Jian Li,1,Exact DOI-level match
A5024606648,A5029326219,T. Liu,7,Merged 7 profile fragments; full name unresolved
A5024688954,A5024688954,Jing Li,1,Exact DOI-level match
A5024719843,A5024719843,Peng Li,1,Exact DOI-level match
A5024795113,A5024795113,Lin Zhang,1,Exact DOI-level match
A5024992580,A5024992580,Bo Zhang,1,Exact DOI-level match
A5025311315,A5025311315,Jie Li,1,Exact DOI-level match
A5025329304,A5025329304,Gang Wang,1,Exact DOI-level match
A5025331536,A5025331536,Ying Li,1,Exact DOI-level match
A5025351076,A5025351076,Lei Liu,1,Exact DOI-level match
A5025401873,A5025401873,Jie Li,1,Exact DOI-level match
A5025499246,A5025499246,Feng Wang,1,Exact DOI-level match
A5025537865,A5025537865,Yang Liu,1,Exact DOI-level match
A5025670295,A5025670295,Hui Wang,1,Exact DOI-level match
A5025692087,A5025692087,Ping Li,1,Exact DOI-level match
A5025712127,A5025712127,Yan Li,1,Exact DOI-level match
A5025897794,A5025897794,Qi Wang,1,Exact DOI-level match
A5026080192,A5026080192,Ting-Kai Liu,1,Unresolved abbreviation
A5026203203,A5026203203,Lei Liu,1,Exact DOI-level match
A5026244579,A5026244579,Wei Liu,1,Exact DOI-level match
A5026298072,A5026298072,Fei Wang,1,Exact DOI-level match
A5026299946,A5026299946,Xin Zhang,1,Exact DOI-level match
A5026349477,A5026349477,Yan Zhang,1,Exact DOI-level match
A5026775636,A5026775636,Liu Wei,1,Exact DOI-level match
A5026818586,A5026818586,Wei Chen,1,Exact DOI-level match
A5026873018,A5026873018,Ying Zhang,1,Exact DOI-level match
A5026909961,A5026909961,Jing Chen,1,Exact DOI-level match
A5026956824,A5026956824,Hong Li,1,Exact DOI-level match
A5026976348,A5026976348,Wei Li,1,Exact DOI-level match
A5026980795,A5026980795,Min Wang,1,Exact DOI-level match
A5027012549,A5027012549,Xin Wang,1,Exact DOI-level match
A5027023668,A5027023668,Ping Zhang,1,Exact DOI-level match
A5027036101,A5027036101,Joachim Boldt,2,Merged 2 OpenAlex profiles
A5027061078,A5027061078,Jun Lü,1,Exact DOI-level match
A5027281905,A5027281905,Na Li,1,Exact DOI-level match
A5027310258,A5027310258,T. Zhang,1,Unresolved abbreviation
A5027327689,A5027327689,Qiang Li,1,Exact DOI-level match
A5027464346,A5027464346,Bingbo Zhang,1,Exact DOI-level match
A5027521117,A5027521117,Ming Li,1,Exact DOI-level match
A5027679708,A5027679708,Lei Zhang,1,Exact DOI-level match
A5027826490,A5027826490,Rui Wang,1,Exact DOI-level match
A5027918199,A5027918199,Fang Wang,1,Exact DOI-level match
A5027925351,A5027925351,Jun Chen,1,Exact DOI-level match
A5027944033,A5027944033,Wei Zhao,1,Exact DOI-level match
A5027944416,A5027944416,Qiang Li,1,Exact DOI-level match
A5028012159,A5028012159,Hao Chen,1,Exact DOI-level match
A5028114748,A5028114748,Ashok Pandey,1,Exact DOI-level match
A5028251167,A5028251167,Hui Liu,1,Exact DOI-level match
A5028373050,A5028373050,Peng Zhang,1,Exact DOI-level match
A5028389743,A5028389743,Jing Wang,1,Exact DOI-level match
A5028481145,A5028481145,Jing Wang,1,Exact DOI-level match
A5028599614,A5028599614,Qian Li,1,Exact DOI-level match
A5028660596,A5028660596,Jing Zhao,1,Exact DOI-level match
A5028668508,A5028668508,Lei Zhang,1,Exact DOI-level match
A5028750131,A5028750131,Jie Li,1,Exact DOI-level match
A5028846529,A5028846529,Jun Yang,1,Exact DOI-level match
A5028850241,A5028850241,Ying Liu,1,Exact DOI-level match
A5028970982,A5028970982,Yu Zhang,1,Exact DOI-level match
